Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,8,3,12,13,-1
  └─ Profit from operations,15.35,4.68,16.36,16.11,18.21
  └─ Receivables,0.00,0.00,-5.34,5.38,-11.87
  └─ Payables,0.00,0.00,0.59,0.13,-0.20
  └─ Loans Advances,0.00,0.00,-0.63,-3.49,1.64
  └─ Other WC items,-4.05,-0.10,1.74,-1.82,-1.64
  └─ Working capital changes,-4.05,-0.10,-3.65,0.20,-12.08
  └─ Direct taxes,-3.10,-1.38,-0.79,-3.68,-6.79
  └─ Other operating items,0.13,-0.48,0.00,0.00,0.00
Cash from Investing Activity,-3,-1,-18,-79,28
  └─ Fixed assets purchased,-1.53,-0.37,-11.77,-1.64,-3.21
  └─ Fixed assets sold,0.05,0.00,0.00,0.00,0.35
  └─ Investments purchased,-4.09,-2.00,-5.49,-34.72,-47.51
  └─ Investments sold,2.73,1.00,5.09,3.97,45.73
  └─ Interest received,0.00,0.00,0.38,0.51,3.69
  └─ Dividends received,0.00,0.00,0.00,0.15,0.05
  └─ Other investing items,-0.52,0.24,-6.45,-47.60,29.00
Cash from Financing Activity,-1,-6,7,63,-1
  └─ Proceeds from shares,0.00,0.00,0.00,75.65,0.00
  └─ Proceeds from borrowings,0.00,0.00,7.27,0.00,0.00
  └─ Repayment of borrowings,-0.49,-3.34,-0.25,-6.24,-0.75
  └─ Interest paid fin,-0.44,-0.19,-0.19,-0.57,-0.08
  └─ Other financing items,0.00,-2.50,0.00,-6.15,0.00
Net Cash Flow,4,-4,1,-4,27
  └─ Free Cash Flow,7,2,0,11,-4
  └─ CFO/OP,81%,100%,77%,122%,43%
