Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,17,17,29,2,72,62,136
  └─ Profit from operations,24,23,37,54,87,119,162
  └─ Receivables,1,-1,-23,-54,-6,-79,-103
  └─ Inventory,-5,-5,-32,-27,-56,-14,-114
  └─ Payables,-6,-6,53,43,58,31,175
  └─ Loans Advances,0,0,-0,-0,-5,4,0
  └─ Other WC items,-4,14,-0,-11,2,16,50
  └─ Working capital changes,-14,1,-3,-49,-7,-42,7
  └─ Interest paid,0,-1,0,0,0,0,0
  └─ Direct taxes,-2,-4,-5,-4,-8,-15,-33
  └─ Other operating items,9,-3,0,0,0,0,0
Cash from Investing Activity,-11,-9,-64,-34,-95,-151,-303
  └─ Fixed assets purchased,-13,-10,-77,-29,-96,-87,-133
  └─ Fixed assets sold,1,0,12,0,0,1,0
  └─ Investments purchased,0,0,0,-6,0,-0,-23
  └─ Interest received,1,1,0,1,1,3,15
  └─ Other investing items,0,-0,0,0,0,-68,-161
Cash from Financing Activity,-5,2,32,33,23,166,155
  └─ Proceeds from shares,0,0,0,0,0,126,0
  └─ Proceeds from borrowings,8,11,35,46,40,65,0
  └─ Repayment of borrowings,-8,-5,0,0,0,0,-107
  └─ Interest paid fin,-5,-5,-6,-12,-17,-24,-31
  └─ Financial liabilities,0,0,0,0,0,0,-0
  └─ Other financing items,0,0,2,-0,0,0,293
Net Cash Flow,1,9,-4,1,-0,78,-13
  └─ Free Cash Flow,5,7,-36,-27,-24,-24,3
  └─ CFO/OP,81%,89%,92%,10%,92%,66%,106%
