Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,45,65,98,219,134,67,485,635,204,430
  └─ Profit from operations,,145,160,234,240,199,366,836,536,518,535
  └─ Receivables,,-24,-36,-9,23,-28,-190,151,311,-25,120
  └─ Inventory,,-16,3,-0,-42,5,-109,-200,186,-99,-20
  └─ Payables,,11,6,-17,32,21,83,-74,-248,-45,-76
  └─ Loans Advances,,0,-0,0,0,0,0,0,0,0,0
  └─ Operating borrowings,,0,0,0,-20,0,0,0,0,0,0
  └─ Other WC items,,-21,-16,-23,48,-21,0,0,0,0,0
  └─ Working capital changes,,-50,-44,-49,41,-23,-217,-123,248,-169,24
  └─ Direct taxes,,-49,-51,-86,-62,-42,-83,-228,-150,-146,-130
Cash from Investing Activity,,-16,-52,-93,-85,-40,-32,-128,-396,-676,-409
  └─ Fixed assets purchased,,-15,-52,-93,-73,-46,-61,-81,-86,-128,-142
  └─ Fixed assets sold,,4,0,0,0,0,0,0,0,0,0
  └─ Interest received,,0,0,3,8,7,6,11,47,68,68
  └─ Invest in subsidiaries,,0,0,0,0,0,-0,0,0,0,0
  └─ Investment in group cos,,0,0,0,0,0,-1,-10,-2,0,-6
  └─ Acquisition of companies,,-6,0,-3,-28,0,0,0,0,0,0
  └─ Other investing items,,1,-0,-1,8,-1,23,-48,-354,-616,-330
Cash from Financing Activity,,-55,-17,92,-37,-41,-68,-69,-59,-34,-0
  └─ Proceeds from borrowings,,0.00,0.00,108.08,0.00,0.00,0.54,0.45,0.73,0.94,43.68
  └─ Repayment of borrowings,,-2.25,0.00,0.00,-1.36,-35.55,-31.27,-36.83,-28.03,-0.61,0.00
  └─ Interest paid fin,,-3.82,-2.08,-3.28,-6.33,-5.22,-3.70,-4.54,-2.19,-1.93,-1.61
  └─ Dividends paid,,0.00,-27.68,-25.83,-40.66,-9.20,-33.73,-27.59,0.00,-30.66,-33.72
  └─ Financial liabilities,,0.00,0.00,0.00,0.00,0.00,-0.03,-0.14,-1.45,-2.09,-8.57
  └─ Other financing items,,-49.25,12.86,13.44,11.62,9.27,-0.01,0.00,-27.59,0.00,0.00
Net Cash Flow,,-26,-3,97,98,53,-33,289,180,-506,20
  └─ Free Cash Flow,,34,13,5,146,88,6,405,549,77,288
  └─ CFO/OP,,65%,73%,79%,119%,89%,41%,86%,148%,68%,117%
