Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,0,2,3,-18,6,-15,115,-98
  └─ Profit from operations,2,8,10,7,7,20,82,236
  └─ Receivables,-3,-10,-6,-4,8,-18,-39,-157
  └─ Inventory,0,0,0,0,-4,-49,50,1
  └─ Payables,1,7,-0,0,-3,6,21,44
  └─ Loans Advances,-2,-0,1,-21,6,53,0,0
  └─ Other WC items,3,-2,-1,2,-8,-26,5,-219
  └─ Working capital changes,-1,-5,-6,-24,-0,-35,36,-330
  └─ Direct taxes,-1,-1,-1,-1,-0,0,-3,-10
  └─ Advance tax,0,0,0,0,0,0,0,6
  └─ Other operating items,0,0,0,0,0,-1,0,0
Cash from Investing Activity,-1,-1,-8,-0,-1,-52,-706,-668
  └─ Fixed assets purchased,-0,-1,-8,-1,-0,-50,-439,-479
  └─ Investments purchased,0,0,0,0,0,0,-7,0
  └─ Interest received,0,0,0,0,0,1,3,29
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,4
  └─ Other investing items,-0,-0,0,0,-1,-3,-264,-222
Cash from Financing Activity,0,0,6,20,-4,67,709,859
  └─ Proceeds from shares,0,0,0,20,0,0,133,0
  └─ Proceeds from borrowings,0,1,6,3,1,73,514,1032
  └─ Repayment of borrowings,0,0,0,0,-4,-1,-16,-130
  └─ Interest paid fin,-0,-0,-1,-2,-2,-5,-23,-108
  └─ Other financing items,0,0,0,0,0,0,102,65
Net Cash Flow,-0,1,1,2,1,-1,118,93
  └─ Free Cash Flow,-0,1,-5,-18,6,-65,-324,-577
  └─ CFO/OP,35%,42%,44%,-416%,100%,-77%,151%,-41%
