Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,91,101,77,134,141,99,199,172,218,172,330,275
  └─ Profit from operations,65,86,74,84,147,164,226,253,252,298,462,458
  └─ Receivables,12,8,-15,24,-19,8,12,10,3,-6,-6,-4
  └─ Inventory,12,-1,24,18,10,-19,-20,-86,11,-91,-20,-80
  └─ Payables,2,3,4,14,21,-16,21,24,-6,57,-12,33
  └─ Loans Advances,8,10,0,-0,0,0,-0,0,-0,0,-0,0
  └─ Operating Deposits,0,0,0,0,0,0,0,0,0,0,0,-3
  └─ Other WC items,-0,0,-1,6,8,-10,-1,15,5,-22,15,-44
  └─ Working capital changes,34,21,11,61,19,-37,12,-38,13,-62,-22,-99
  └─ Direct taxes,-8,-5,-8,-11,-25,-28,-38,-42,-47,-64,-111,-84
Cash from Investing Activity,-20,-5,-12,-5,-101,-44,-126,-141,-168,46,-275,-208
  └─ Fixed assets purchased,-29,-10,-17,-11,-27,-54,-64,-126,-70,-17,-59,-161
  └─ Fixed assets sold,1,0,0,0,0,0,3,18,4,1,4,0
  └─ Investments purchased,0,0,0,-12,-77,0,-66,-33,-105,0,-223,-51
  └─ Investments sold,0,1,0,11,0,6,0,0,0,61,0,0
  └─ Interest received,8,4,4,5,2,1,1,0,2,2,2,3
  └─ Dividends received,0,0,0,1,1,2,0,0,0,0,0,1
  └─ Other investing items,0,0,0,0,0,0,0,0,2,-1,-1,0
Cash from Financing Activity,-107,-96,-40,-172,-49,-64,-36,6,-89,-169,-52,-60
  └─ Proceeds from borrowings,17.76,-21.89,18.84,137.06,12.10,28.30,46.32,91.50,24.46,6.32,0.00,0.00
  └─ Repayment of borrowings,-40.20,-30.79,-25.99,-279.05,-30.06,-17.49,-51.85,-35.27,-65.43,-142.36,0.00,0.00
  └─ Proceeds from deposits,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.00,9.33,0.00,0.00
  └─ Interest paid fin,-44.13,-43.52,-32.27,-24.29,-18.78,-17.44,-20.61,-18.24,-16.99,-11.78,-8.78,-8.20
  └─ Dividends paid,0.00,0.00,0.00,-2.80,-5.60,-54.24,0.25,-23.53,-23.66,-23.21,-23.53,-27.88
  └─ Financial liabilities,0.00,0.00,0.00,0.00,-1.53,-6.03,-9.57,-7.30,-7.22,-7.66,-16.13,-5.82
  └─ Other financing items,-40.00,0.00,-0.66,-2.63,-4.83,0.00,-0.33,-1.35,-0.54,0.00,-3.61,-17.65
Net Cash Flow,-36,0,25,-43,-8,-9,38,37,-39,48,2,8
  └─ Free Cash Flow,63,92,61,124,115,45,139,64,152,156,276,114
  └─ CFO/OP,165%,131%,117%,174%,116%,79%,109%,90%,117%,84%,100%,83%
