Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity,181,99,163,199,131,162,178,184,125,91,108,95
  └─ Profit from operations,169,171,185,217,196,147,217,224,142,107,132,194
  └─ Receivables,-13,-52,18,22,-26,7,-65,-12,76,-62,15,-39
  └─ Inventory,14,-21,-12,-7,1,-7,9,-12,-3,-16,-15,-48
  └─ Payables,23,-9,-0,-5,2,15,-28,30,-66,62,-7,22
  └─ Loans Advances,19,17,-2,-1,-2,0,0,-2,1,-0,0,-0
  └─ Other WC items,-8,8,1,-2,-11,24,90,4,-5,10,-1,-3
  └─ Working capital changes,35,-57,5,7,-36,39,6,9,3,-7,-8,-68
  └─ Direct taxes,-24,-15,-26,-26,-29,-24,-45,-49,-19,-9,-16,-31
Cash from Investing Activity,-139,-96,-42,-81,-79,-64,-118,16,-34,-40,-126,-84
  └─ Fixed assets purchased,-139,-97,-106,-82,-90,-68,-56,-73,-40,-37,-122,-97
  └─ Fixed assets sold,0,1,0,0,1,0,6,5,1,1,1,3
  └─ Investments purchased,0,0,-2,-1,0,0,0,0,0,0,0,0
  └─ Investments sold,0,0,65,0,10,0,1,0,0,0,0,0
  └─ Interest received,0,0,0,2,3,0,4,8,5,2,4,3
  └─ Dividends received,0,0,0,0,0,3,0,0,0,0,0,0
  └─ Other investing items,-1,-0,-0,-0,-3,0,-73,76,0,-6,-9,7
Cash from Financing Activity,-42,-13,-122,-102,-35,-100,-55,-85,-153,-44,14,-28
  └─ Proceeds from borrowings,75.39,129.05,49.92,91.52,85.73,46.78,40.88,14.71,0.00,12.55,36.48,12.69
  └─ Repayment of borrowings,-68.17,-77.90,-115.95,-141.20,-70.73,-106.43,-61.65,-58.71,-115.94,-40.77,-14.11,-22.00
  └─ Interest paid fin,-35.04,-43.60,-40.73,-34.08,-33.13,-28.05,-21.10,-15.50,-9.51,-4.22,-3.01,-3.99
  └─ Dividends paid,-12.92,-12.92,-12.92,-15.90,-12.92,-12.48,-12.79,-25.92,-22.44,-11.35,-4.69,-14.32
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.79,-0.67,-0.28,-0.35
  └─ Other financing items,-1.48,-7.20,-2.20,-2.83,-3.67,0.00,0.00,0.00,-4.02,0.00,0.00,0.00
Net Cash Flow,-0,-10,-0,15,18,-2,5,115,-61,7,-4,-17
  └─ Free Cash Flow,42,3,58,117,42,95,127,116,86,55,-13,1
  └─ CFO/OP,117%,69%,106%,104%,82%,126%,105%,105%,105%,98%,97%,68%
