Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,235,38,49,63,-100,-139,160,-151,108,-164,114,73
  └─ Profit from operations,-47,110,170,45,121,76,79,106,79,91,130,100
  └─ Receivables,-10,-22,25,-10,-0,-11,8,-0,6,-7,4,-20
  └─ Inventory,-52,-128,-60,3,-323,-61,40,105,12,-190,-1,17
  └─ Payables,347,61,-132,121,131,-82,74,-471,17,-51,-17,-18
  └─ Loans Advances,-10,5,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,8,13,48,-86,-19,-45,-41,109,-4,-7,7,6
  └─ Working capital changes,282,-71,-119,28,-211,-200,81,-257,31,-254,-6,-14
  └─ Direct taxes,0,-1,-2,-9,-10,-15,-1,-0,-2,-1,-9,-12
Cash from Investing Activity,-15,-4,121,83,-17,-42,129,-13,-39,5,92,-31
  └─ Fixed assets purchased,-5.39,-10.93,-19.15,-21.10,-25.77,-43.46,-24.66,-11.11,-35.39,-30.18,-27.25,-33.47
  └─ Fixed assets sold,0.03,0.64,0.04,0.01,0.68,0.32,0.02,0.44,0.80,28.21,0.04,0.54
  └─ Investments sold,0.00,0.00,0.00,0.19,1.43,0.86,0.02,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,1.91,4.86,4.14,3.46,4.32,2.48,2.69,1.36,1.24,1.34,1.60,2.10
  └─ Loans to subsidiaries,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.42,0.00
  └─ Redemp n Canc of Shares,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,115.82,0.00
  └─ Other investing items,-11.60,1.49,135.84,100.63,2.47,-2.14,150.32,-3.96,-5.25,5.26,4.06,0.00
Cash from Financing Activity,-206,-30,-157,-127,94,195,-245,107,-76,143,-206,-25
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,161.00,296.28,6.54,172.43,0.00,219.06,0.00,1.37
  └─ Repayment of borrowings,-197.75,-27.23,-129.87,-107.56,-56.89,-64.84,-224.08,-36.71,-36.84,-34.83,-149.47,0.00
  └─ Interest paid fin,-8.04,-2.58,-25.90,-19.52,-9.97,-34.32,-26.09,-16.60,-26.76,-28.65,-29.06,-21.94
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.73,-11.73,-11.73,-27.38,-3.91
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-2.11,-1.70,-0.45,-0.49,-0.45,-0.56,-0.64
  └─ Other financing items,0.00,0.00,-1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,15,4,13,19,-23,14,43,-57,-6,-16,-1,17
  └─ Free Cash Flow,230,27,30,42,-125,-182,135,-162,74,-166,87,40
  └─ CFO/OP,-448%,36%,30%,169%,-79%,-238%,166%,-144%,143%,-180%,101%,82%
