Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,40,46,58,24,36,103,83,-124,-20,50,469,-104
  └─ Profit from operations,72,78,109,71,49,90,143,166,210,43,-12,136
  └─ Receivables,-61,32,-53,-67,13,-101,11,-203,-248,-12,409,-209
  └─ Inventory,-10,3,-29,10,-22,60,-64,-182,-80,144,81,-9
  └─ Payables,40,-59,25,38,26,57,7,117,111,-155,-33,-13
  └─ Loans Advances,2,2,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-0,-8,10,-19,-27,-1,-4,6,14,48,24,-14
  └─ Working capital changes,-30,-30,-47,-38,-10,14,-50,-263,-203,25,482,-246
  └─ Direct taxes,-2,-2,-3,-8,-3,-2,-10,-27,-27,-17,-1,6
Cash from Investing Activity,-18,-12,-6,-14,-27,-97,14,-163,-143,-38,4,-58
  └─ Fixed assets purchased,-17.75,-13.38,-10.70,-13.41,-22.51,-69.93,-15.96,-137.93,-145.53,-39.01,-33.35,-30.29
  └─ Fixed assets sold,1.25,1.63,4.12,0.14,0.13,0.04,0.09,0.04,0.10,0.02,2.82,0.61
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
  └─ Investment income,-1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.71,0.36,2.19,0.46,2.88,1.15,2.30,2.93,2.86,0.95
  └─ Investment in group cos,0.00,0.00,0.00,0.00,-3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,0.00,0.18,-1.26,-3.63,-27.10,27.04,-26.69,0.53,-1.67,31.61,-29.68
Cash from Financing Activity,-27,-33,-58,-11,-9,70,-113,290,134,-22,-448,108
  └─ Proceeds from shares,0,0,0,0,34,0,0,1,1,1,1,252
  └─ Proceeds from borrowings,32,22,8,39,5,70,64,340,228,130,0,63
  └─ Repayment of borrowings,-23,-17,-27,-15,-34,-24,-126,-16,-35,-62,-391,-158
  └─ Interest paid fin,-35,-37,-38,-33,-32,-28,-28,-26,-45,-76,-66,-46
  └─ Dividends paid,0,0,-2,-2,-2,-2,-5,-11,-12,-5,0,0
  └─ Financial liabilities,0,0,0,0,0,-5,-34,-3,-3,-10,-1,-2
  └─ Other financing items,-1,-1,0,0,20,60,15,5,0,0,10,-2
Net Cash Flow,-4,1,-5,-1,0,77,-16,2,-28,-9,25,-55
  └─ Free Cash Flow,24,34,52,11,14,33,67,-262,-166,11,438,-134
  └─ CFO/OP,96%,85%,110%,66%,286%,152%,82%,-70%,3%,397%,-755%,-107%
