Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,891,-126,39,201,824,527,758,608,1223,3174,2157,2312
  └─ Profit from operations,315,377,191,808,1390,1340,1511,1638,1654,1691,1736,1689
  └─ Receivables,-24,-73,33,-559,-654,-830,-862,-902,-18,1420,757,1038
  └─ Inventory,-93,225,7,-4,-9,23,102,-73,-313,87,-213,165
  └─ Payables,249,-647,-61,37,9,-41,-13,11,67,-17,-2,102
  └─ Loans Advances,-2,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,525,62,-83,-11,152,108,98,151,-20,124,63,-365
  └─ Working capital changes,655,-433,-105,-538,-502,-740,-674,-814,-284,1613,605,940
  └─ Direct taxes,-80,-70,-48,-69,-63,-74,-79,-216,-147,-131,-185,-317
Cash from Investing Activity,-866,-1380,-690,267,1,7,-216,-212,28,-237,-1270,-2014
  └─ Fixed assets purchased,-1004,-1452,-516,-80,-132,-130,-33,-63,-100,-166,-852,-1807
  └─ Fixed assets sold,1,0,0,5,0,0,0,0,13,0,0,24
  └─ Investments purchased,-461,-99,-487,-76,-110,-93,-589,-645,-998,-533,-1325,-1929
  └─ Investments sold,548,156,208,326,145,130,414,445,1091,486,839,1615
  └─ Interest received,47,55,39,39,65,71,2,44,35,33,41,52
  └─ Dividends received,2,1,10,2,2,3,0,2,1,1,1,1
  └─ Invest in subsidiaries,0,0,-0,0,0,0,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,-19,0,0,0,0
  └─ Other investing items,0,-40,57,52,31,26,-11,24,-14,-58,25,30
Cash from Financing Activity,-57,2016,648,-813,-878,-482,-473,-415,-1184,-3066,-163,645
  └─ Proceeds from borrowings,719,3276,1019,119,185,68,96,64,8,0,813,1177
  └─ Repayment of borrowings,-359,-1141,-285,-676,-694,-282,-185,-37,-823,-2770,-348,-17
  └─ Interest paid fin,-83,-77,-61,-236,-338,-180,-261,-378,-281,-207,-150,-19
  └─ Dividends paid,-41,-42,-25,-20,-30,-60,0,-36,-86,-86,-115,-254
  └─ Financial liabilities,0,0,0,0,0,-4,-2,-2,-2,-3,-0,-0
  └─ Share application money,-293,0,0,0,0,0,0,0,0,0,0,0
  └─ Other financing items,0,0,0,0,0,-22,-120,-25,0,0,-363,-241
Net Cash Flow,-32,510,-3,-345,-52,52,69,-19,67,-129,724,944
  └─ Free Cash Flow,-112,-1578,-477,126,693,397,725,545,1136,3008,1305,529
  └─ CFO/OP,313%,-15%,46%,34%,65%,50%,78%,62%,87%,191%,128%,153%
