Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1036,1301,1225,4533,1620,1647,4390,7746,4171,5512,8977,5166
  └─ Profit from operations,2468,2712,4636,5064,4177,4887,5035,5653,4258,5955,7127,7612
  └─ Receivables,-78,-1487,-2372,234,-1749,-2334,764,3677,-715,509,945,959
  └─ Inventory,-215,0,0,0,0,0,0,-161,-947,303,1974,-370
  └─ Payables,-647,756,515,152,-937,-71,-206,-665,1864,-556,79,-1115
  └─ Loans Advances,270,522,-87,-32,4,-64,-15,108,-128,-108,-636,-108
  └─ Other WC items,0,-675,-964,-422,629,-279,-881,0,0,0,0,-926
  └─ Working capital changes,-669,-885,-2908,-69,-2053,-2747,-338,2960,73,148,2363,-1560
  └─ Direct taxes,-763,-526,-504,-557,-501,-496,-328,-871,-159,-612,-610,-886
  └─ Other operating items,0,-1,0,95,-3,3,22,0,0,0,0,0
  └─ Exceptional CF items,-1,0,1,0,0,0,0,5,-1,22,98,0
Cash from Investing Activity,-502,-1380,-4332,-4593,-6119,-5812,-2212,-763,-2499,-3059,-7160,-7549
  └─ Fixed assets purchased,-1236,-1695,-4233,-4646,-6266,-5895,-2322,-917,-2603,-3168,-7340,-7945
  └─ Fixed assets sold,4,5,9,9,19,2,0,3,50,12,72,305
  └─ Investments purchased,0,-118,-472,0,0,0,-0,0,0,-0,-1,0
  └─ Investments sold,103,0,0,0,0,0,0,7,0,0,0,1
  └─ Interest received,627,429,364,44,128,81,110,144,55,97,110,90
Cash from Financing Activity,-1231,63,-68,98,4416,4163,-2037,-7001,-1735,-1985,-2196,2907
  └─ Proceeds from shares,207,406,226,0,386,669,99,306,253,378,319,309
  └─ Proceeds from borrowings,14,832,3555,1737,7383,6628,262,20,594,728,747,5410
  └─ Repayment of borrowings,0,0,0,0,0,0,-258,-5172,-347,-654,-735,0
  └─ Interest paid fin,-690,-730,-778,-857,-1291,-1950,-1993,-1699,-1804,-1918,-2082,-1983
  └─ Dividends paid,-762,-445,-1591,-781,-807,-1183,-146,-457,-428,-498,-440,-736
  └─ Financial liabilities,0,0,0,0,0,0,0,0,-3,-21,-6,-93
  └─ Other financing items,0,0,-1480,0,-1256,0,0,0,0,0,0,0
Net Cash Flow,-696,-16,-3174,39,-83,-2,140,-18,-62,468,-379,525
  └─ Free Cash Flow,-196,-390,-2998,-104,-4627,-4246,2068,6832,1618,2357,1709,-2474
  └─ CFO/OP,117%,73%,34%,131%,94%,65%,180%,218%,75%,178%,202%,108%
