Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,69,71,33,-3,1,10,-1,3,24,-4,15,37
  └─ Profit from operations,94.36,95.99,48.02,-8.09,-4.56,11.51,1.45,0.32,3.29,4.13,13.31,12.74
  └─ Receivables,-0.08,-2.35,-3.45,-2.08,0.11,1.15,-4.79,2.58,7.22,0.10,0.89,-1.98
  └─ Inventory,-0.01,0.08,-0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Loans Advances,-0.80,0.85,0.07,-1.05,0.57,0.79,-0.55,-0.55,-0.78,-4.77,-0.12,-2.33
  └─ Other WC items,-5.34,4.03,5.45,6.89,5.58,-3.46,3.12,1.07,14.74,-2.46,2.23,-2.52
  └─ Working capital changes,-6.24,2.60,1.40,3.77,6.26,-1.52,-2.23,3.10,21.18,-7.13,2.99,-6.84
  └─ Direct taxes,-19.37,-27.19,-16.27,1.27,-0.92,0.42,-0.35,-0.89,-0.63,-0.94,-1.18,31.53
Cash from Investing Activity,-1,-13,-32,2,0,-9,-0,-2,-24,3,9,-39
  └─ Fixed assets purchased,-1,-13,-32,-3,0,-0,-0,-1,-0,-0,-0,-1
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Interest received,0,0,0,0,0,0,0,1,2,2,2,13
  └─ Other investing items,0,0,0,5,0,-9,-1,-1,-26,1,8,-50
Cash from Financing Activity,-78,-38,-27,0,-0,-0,-0,-0,-0,-0,-24,0
  └─ Proceeds from debentures,0.00,-22.40,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-0.25,0.00,0.00,0.00,0.00,0.00,-23.80,0.00
  └─ Interest paid fin,-6.50,-2.16,-5.72,-6.48,-0.58,-0.02,-0.01,-0.03,-0.02,-0.01,0.00,0.00
  └─ Dividends paid,-66.47,-56.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,-5.00,43.00,-21.62,6.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-10,21,-26,-1,1,1,-2,1,0,-1,1,-1
  └─ Free Cash Flow,68,59,1,-6,1,10,-1,1,24,-4,15,36
  └─ CFO/OP,102%,106%,110%,46%,-35%,147%,-63%,-1066%,816%,-80%,123%,49%
