Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,3,3,-9,5,2,6,1,-18,2
  └─ Profit from operations,15.93,13.60,14.75,19.34,28.94,41.68,48.91,50.19,32.75
  └─ Receivables,-9.12,-14.89,-23.89,-14.75,-9.13,-15.38,-22.31,-61.85,-8.64
  └─ Inventory,-15.61,-4.72,1.55,1.90,-1.37,-4.92,-7.86,-14.65,-23.55
  └─ Payables,7.15,7.66,-0.42,3.27,-13.85,-5.21,-0.37,18.68,3.90
  └─ Loans Advances,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,3.34,1.86,1.42,-2.94,1.72,-2.34,-9.65,-1.29,6.72
  └─ Working capital changes,-11.32,-10.09,-21.35,-12.52,-22.63,-27.85,-40.18,-59.11,-21.57
  └─ Direct taxes,-1.42,-0.13,-2.35,-1.64,-3.83,-8.16,-7.93,-9.51,-9.49
Cash from Investing Activity,-6,-3,-1,-3,-4,-2,-23,-26,1
  └─ Fixed assets purchased,-1.82,-3.63,-1.40,-3.07,-4.06,-3.52,-0.85,-25.87,-21.65
  └─ Fixed assets sold,0.00,0.05,0.43,0.00,0.00,1.25,0.00,0.00,0.00
  └─ Capital WIP,-1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,-1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.50,1.00,0.01,-0.05,0.18,0.41,-22.61,-0.50,23.11
Cash from Financing Activity,3,-1,10,-2,3,-2,82,-12,-9
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,100.95,0.00,0.00
  └─ Proceeds from borrowings,5.66,0.78,16.10,5.50,13.17,7.02,0.00,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-3.29,-0.33,-9.76,-6.55,-4.26
  └─ Interest paid fin,-3.10,-3.46,-6.36,-7.33,-7.15,-8.80,-9.03,-5.25,-4.86
  └─ Other financing items,0.00,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-0,0,-0,0,1,2,59,-57,-6
  └─ Free Cash Flow,-0,-0,-10,2,-2,3,-0,-44,-20
  └─ CFO/OP,30%,27%,-48%,38%,23%,36%,20%,-21%,41%
