Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,2,1,3,2,-7,24,51,29,-45
  └─ Profit from operations,2,3,2,3,4,12,45,61,53
  └─ Receivables,1,0,0,-5,2,4,-0,-31,-72
  └─ Inventory,-0,-0,0,-0,-2,-0,2,1,-1
  └─ Payables,0,-2,0,0,0,-3,3,12,21
  └─ Loans Advances,-1,-0,0,0,-1,0,0,0,0
  └─ Other WC items,-0,1,-0,5,-10,13,9,1,-34
  └─ Working capital changes,0,-1,1,-0,-10,14,14,-17,-86
  └─ Direct taxes,-0,-1,-0,-0,-0,-2,-9,-15,-12
Cash from Investing Activity,-3,-2,-3,-3,-5,-6,-33,8,-42
  └─ Fixed assets purchased,-2.91,-1.90,-2.82,-2.56,-5.80,-6.07,-2.73,-10.80,-47.33
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.00
  └─ Investment income,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.00,0.01,0.32,0.34,2.69,7.41,12.07
  └─ Other investing items,-0.26,0.00,0.00,0.00,0.00,0.00,-33.05,12.08,-6.90
Cash from Financing Activity,-0,-0,-0,0,13,0,-0,7,296
  └─ Proceeds from shares,0,0,0,0,14,0,0,0,300
  └─ Proceeds from borrowings,0,0,0,0,0,0,0,7,2
  └─ Repayment of borrowings,0,0,0,0,-0,0,-0,-0,0
  └─ Interest paid fin,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Dividends paid,0,0,0,0,0,0,0,0,-4
  └─ Financial liabilities,0,0,0,0,0,0,-1,0,-2
  └─ Other financing items,0,0,0,0,0,0,1,0,0
Net Cash Flow,-1,-1,0,0,1,18,18,44,208
  └─ Free Cash Flow,-1,-1,0,-0,-13,18,48,18,-93
  └─ CFO/OP,115%,56%,155%,94%,-199%,216%,139%,74%,-66%
