Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,15,10,14,16,11,29,33,-4,6,62,32,65
  └─ Profit from operations,14,17,17,18,25,27,24,29,34,59,47,71
  └─ Receivables,0,1,-7,-5,-2,-1,9,-24,-30,9,-9,-6
  └─ Inventory,-0,0,0,0,0,0,0,0,0,0,0,0
  └─ Payables,0,0,-1,4,-2,2,1,4,0,2,-3,4
  └─ Loans Advances,3,-2,0,-0,0,0,0,0,0,0,0,0
  └─ Other WC items,0,-1,1,3,-2,8,-5,-3,5,-6,2,13
  └─ Working capital changes,3,-2,-7,3,-6,8,6,-23,-25,5,-10,11
  └─ Direct taxes,-2,-5,5,-5,-9,-6,4,-10,-4,-2,-6,-17
Cash from Investing Activity,-4,-1,-11,-5,-5,-5,-10,-32,6,-62,-17,-22
  └─ Fixed assets purchased,0.00,0.00,-5.77,-4.99,-5.02,-2.38,-13.36,-22.36,-7.20,-2.02,-3.67,-19.11
  └─ Fixed assets sold,0.11,0.02,0.03,0.13,0.03,0.14,0.31,0.13,0.42,0.37,0.05,0.07
  └─ Investments purchased,-6.20,-3.02,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.27,0.00,0.00,0.00
  └─ Interest received,0.53,0.86,0.02,0.02,0.31,0.13,0.42,0.32,2.13,0.35,4.54,7.29
  └─ Other investing items,1.93,1.30,-5.44,-0.02,-0.37,-3.26,2.74,-10.28,10.60,-60.95,-18.08,-9.82
Cash from Financing Activity,-11,-9,-0,-10,-9,-10,-12,57,-14,-16,-21,-31
  └─ Proceeds from shares,0.36,0.38,0.26,0.35,0.26,0.24,0.30,68.11,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,9.18,9.11,0.00,0.00,0.00,0.67,0.00,0.31,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-16.86,-15.45,0.00,0.00,-4.78,0.00,-2.88,0.00,-0.09,-0.51,0.00,0.00
  └─ Interest paid fin,-3.17,-3.38,-2.80,-3.03,-2.64,-3.57,-2.18,-1.14,-0.09,-0.04,0.00,0.00
  └─ Dividends paid,0.00,0.00,-1.50,-1.85,-1.57,-2.40,-2.43,-5.25,-6.58,-6.67,-11.20,-11.34
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-4.87,-5.01,-5.77,-7.89,-9.28,-10.35,-10.05
  └─ Share application money,0.00,0.00,0.00,-0.03,-0.03,-0.02,-0.03,0.32,0.44,0.34,0.33,0.00
  └─ Application money refund,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,-0.63,0.00,3.70,-5.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.93
Net Cash Flow,0,0,3,2,-3,13,11,21,-2,-16,-7,12
  └─ Free Cash Flow,15,10,9,12,6,27,20,-26,-1,61,28,46
  └─ CFO/OP,132%,111%,86%,186%,86%,148%,168%,30%,35%,123%,84%,114%
