Metric,Mar 2016,Mar 2017,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,35,-24,2,-5,40,-6,-21,-5
  └─ Profit from operations,12.15,13.55,7.74,9.31,11.99,12.91,12.22,8.48
  └─ Receivables,6.52,-15.06,-9.25,-6.46,6.68,-17.06,10.19,-24.23
  └─ Inventory,18.64,-37.24,-16.32,5.37,-21.51,14.79,-8.06,14.80
  └─ Payables,-1.61,15.12,21.11,-11.09,44.15,-15.05,-33.91,-2.41
  └─ Working capital changes,23.54,-37.19,-4.46,-12.18,29.33,-17.32,-31.78,-11.84
  └─ Direct taxes,-1.19,-0.82,-1.11,-1.68,-0.90,-1.70,-1.90,-1.35
Cash from Investing Activity,-2,-2,-1,-1,-5,-10,-7,3
  └─ Fixed assets purchased,-1.69,-1.91,-1.10,-1.16,-0.64,-1.56,-0.51,-0.10
  └─ Fixed assets sold,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,0.00,0.00,-3.38,-1.90,-2.16,-0.40
  └─ Other investing items,0.00,0.00,0.00,0.00,-1.39,-6.19,-3.89,3.47
Cash from Financing Activity,-31,33,6,-5,-2,-11,33,4
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,29.31,0.00
  └─ Proceeds from borrowings,0.00,43.85,8.91,0.00,6.64,0.00,12.42,9.57
  └─ Repayment of borrowings,-22.04,0.00,0.00,-1.16,-1.98,-5.10,0.00,-0.93
  └─ Interest paid fin,-8.66,-10.54,-2.97,-3.71,-6.32,-5.10,-3.99,-3.47
  └─ Dividends paid,0.00,0.00,-0.25,0.00,-0.52,-1.08,0.00,-1.16
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,-5.18,-0.13
Net Cash Flow,2,7,7,-11,33,-27,5,2
  └─ Free Cash Flow,33,-26,1,-6,40,-8,-22,-5
  └─ CFO/OP,332%,-190%,44%,-33%,355%,-36%,-199%,-58%
