Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,26,26,16,19,17,-1388,-442,-100,417,-87,650,1347
  └─ Profit from operations,26,22,31,16,22,115,192,251,273,220,223,107
  └─ Receivables,-0,0,0,0,-0,-0,0,0,-0,0,-0,0
  └─ Payables,0,-1,0,0,6,18,-12,1,0,-1,7,-13
  └─ Loans Advances,1,59,0,3,-0,-1444,-571,-304,195,-254,473,1278
  └─ Operating investments,5,-58,-11,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Other WC items,-3,5,-2,-0,-0,-0,-0,-0,0,0,-0,-0
  └─ Working capital changes,3,5,-12,3,5,-1426,-582,-302,196,-255,479,1265
  └─ Direct taxes,-3,-1,-3,-1,-10,-77,-53,-49,-51,-52,-53,-25
Cash from Investing Activity,-5,-6,8,3,-214,1283,121,-76,-8,-72,-1648,-1798
  └─ Fixed assets purchased,0,0,0,-0,-0,-1,0,0,0,-0,-0,-0
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Investments purchased,0,0,0,0,-214,0,0,-98,-2,-71,-1648,-1796
  └─ Investments sold,0,-6,0,3,0,1284,143,0,0,0,0,0
  └─ Interest received,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Other investing items,-5,0,8,0,-0,0,-22,22,-7,-1,0,-2
Cash from Financing Activity,-23,-24,-24,-21,198,108,318,181,-412,196,972,438
  └─ Proceeds from borrowings,0,0,0,0,240,175,390,256,0,213,988,454
  └─ Repayment of borrowings,0,0,0,0,0,0,0,0,-331,0,0,0
  └─ Interest paid fin,0,0,0,-0,-19,-43,-52,-59,-65,0,0,0
  └─ Dividends paid,-20,-20,-20,-20,-20,-20,-20,-17,-17,-17,-17,-17
  └─ Other financing items,-3,-4,-4,-1,-4,-4,0,0,0,0,0,0
Net Cash Flow,-2,-3,-0,-0,0,4,-3,4,-3,37,-27,-13
  └─ Free Cash Flow,26,26,16,19,17,-1388,-442,-100,417,-87,649,1347
  └─ CFO/OP,112%,123%,60%,73%,121%,-1139%,-204%,-21%,172%,-12%,241%,548%
