Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,150,221,296,362,1230,244,1252,512,1428,1296,1809,3811
  └─ Profit from operations,489,551,571,844,1106,1168,1233,1343,1890,2680,3052,4089
  └─ Receivables,-157,-297,106,-166,-145,-175,40,121,85,-889,-736,-1376
  └─ Inventory,-302,-90,-539,154,-630,71,-59,-220,-752,-724,14,-1898
  └─ Payables,186,166,358,-439,580,-120,14,-28,209,178,453,368
  └─ Loans Advances,-6,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Other WC items,-0,9,-98,109,500,-398,265,-370,366,626,-341,3511
  └─ Working capital changes,-279,-212,-173,-342,305,-622,260,-497,-92,-809,-610,605
  └─ Direct taxes,-60,-119,-102,-140,-181,-301,-241,-334,-370,-574,-633,-883
Cash from Investing Activity,-173,-247,-295,-188,-408,-262,-1012,-427,-1203,-752,-1239,-2850
  └─ Fixed assets purchased,-204,-249,-279,-199,-286,-290,-193,-527,-479,-859,-970,-1481
  └─ Fixed assets sold,1,3,1,16,5,1,2,7,21,1,14,10
  └─ Investments purchased,-0,-0,-0,-0,-0,-29399,-8058,-9268,-9647,-12760,-11420,-15397
  └─ Investments sold,-0,-0,-0,-0,0,29377,7492,9150,9125,12376,11612,13874
  └─ Interest received,1,3,4,3,12,24,18,23,20,45,22,65
  └─ Invest in subsidiaries,-0,-0,-33,-0,-0,-0,-0,-12,-0,-0,-0,-0
  └─ Investment in group cos,-0,-0,-0,-0,-0,-4,-0,-0,-0,-0,-0,-0
  └─ Other investing items,28,-4,12,-8,-138,28,-273,200,-243,445,-499,80
Cash from Financing Activity,15,45,-10,-190,-651,11,-175,-201,-227,-387,-628,-799
  └─ Proceeds from shares,0,3,-0,-0,-0,411,8,13,13,19,7,5
  └─ Proceeds from borrowings,1315,217,100,34,-0,5,3,-0,37,23,57,23
  └─ Repayment of borrowings,-1190,-0,-25,-113,-565,-124,-125,-17,-4,-4,-7,-10
  └─ Interest paid fin,-103,-149,-67,-94,-78,-43,-46,-31,-48,-102,-168,-237
  └─ Dividends paid,-17,-26,-18,-0,-0,-0,-0,-149,-209,-300,-451,-547
  └─ Financial liabilities,-0,-0,-0,-0,-0,-13,-15,-17,-16,-25,-66,-25
  └─ Other financing items,10,-0,-0,-17,-8,-224,-0,-0,-0,-0,-0,-8
Net Cash Flow,-8,20,-8,-15,171,-7,66,-116,-2,157,-59,162
  └─ Free Cash Flow,-52,-26,18,179,949,-45,1061,-8,969,438,853,2340
  └─ CFO/OP,48%,69%,83%,69%,148%,48%,134%,67%,98%,75%,82%,117%
