Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,2,-3,-27,10,-13
  └─ Profit from operations,1.10,1.30,4.34,5.29,16.23,20.98
  └─ Receivables,3.12,1.36,-7.87,-11.67,0.85,-20.17
  └─ Inventory,-1.22,-0.04,-3.32,0.44,-11.13,-30.41
  └─ Payables,-2.90,-0.41,5.69,-6.55,1.33,24.54
  └─ Loans Advances,0.21,0.43,-1.30,-13.44,5.33,-3.09
  └─ Other WC items,-0.02,-0.19,0.52,-0.11,1.04,-0.86
  └─ Working capital changes,-0.81,1.15,-6.27,-31.33,-2.59,-29.99
  └─ Direct taxes,-0.09,-0.14,-0.73,-0.99,-3.59,-4.03
Cash from Investing Activity,0,-0,-3,-1,-15,-0
  └─ Fixed assets purchased,0.00,-0.43,-3.13,-2.33,-15.18,-0.40
  └─ Fixed assets sold,0.11,0.00,0.00,1.46,0.00,0.00
  └─ Investments purchased,0.00,-0.05,0.00,0.00,0.00,0.00
  └─ Interest received,0.14,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,0.29
Cash from Financing Activity,-1,3,3,26,5,13
  └─ Proceeds from shares,0.00,0.00,0.00,25.90,0.00,0.00
  └─ Proceeds from borrowings,0.76,3.60,3.71,1.60,7.01,15.98
  └─ Repayment of borrowings,-0.82,0.00,0.00,0.00,0.00,-0.04
  └─ Interest paid fin,-0.45,-0.45,-0.92,-1.44,-2.01,-2.49
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,-0.57
Net Cash Flow,-0,5,-3,-2,-0,-0
  └─ Free Cash Flow,0,2,-6,-28,-5,-13
  └─ CFO/OP,700%,1531%,-129%,-1058%,99%,-43%
