Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Cash from Operating Activity,24,-179,7,-22,12,-2,3,29,8,-4
  └─ Profit from operations,48.37,33.44,9.70,6.29,5.66,14.85,13.53,5.62,2.86,-12.70
  └─ Receivables,6.77,-49.23,-12.00,-4.28,25.47,-2.84,-65.93,113.64,-10.95,-20.87
  └─ Inventory,-1.28,-3.20,-0.78,-13.97,-20.27,-70.98,23.30,59.37,-61.12,16.40
  └─ Payables,-27.91,-159.32,12.39,-9.53,0.21,78.52,27.51,-157.12,68.99,13.44
  └─ Operating Deposits,0.00,0.00,0.00,0.00,0.00,0.00,10.83,10.25,7.55,-0.74
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,-19.71,0.00,0.00,0.00,0.00
  └─ Working capital changes,-22.42,-211.75,-0.39,-27.78,5.41,-15.01,-4.29,26.14,4.47,8.23
  └─ Direct taxes,-2.03,-0.76,-2.19,-0.75,0.72,-1.84,-2.46,-1.33,0.18,0.21
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,0.00,-3.39,-1.18,0.00,0.00
Cash from Investing Activity,-31,157,24,-2,-3,6,1,3,-0,2
  └─ Fixed assets purchased,-20.98,-23.81,-2.24,-3.47,-3.68,-1.40,-0.77,-0.51,-0.10,-0.52
  └─ Fixed assets sold,0.10,0.00,0.17,0.78,0.02,0.62,0.13,0.08,0.03,0.56
  └─ Investments purchased,-11.02,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.01,221.60,7.09,0.00,0.00,5.27,0.00,0.00,0.00,1.79
  └─ Interest received,0.76,0.77,0.60,0.63,0.39,1.34,1.29,3.75,0.00,0.00
  └─ Dividends received,0.20,0.27,0.03,0.03,0.02,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.02,-41.89,18.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,16,10,-16,3,-1,-2,-2,-38,-9,-0
  └─ Proceeds from borrowings,111.64,20.74,11.46,14.18,20.48,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-51.14,-7.31,-23.35,-8.61,-19.12,-0.75,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-44.04,-3.63,-3.61,-2.63,-2.44,-1.33,-1.18,-10.99,-1.54,-0.28
  └─ Other financing items,0.00,0.20,0.00,0.00,0.00,0.00,-0.43,-27.43,-7.22,0.19
Net Cash Flow,9,-12,16,-21,7,2,2,-6,-1,-3
  └─ Free Cash Flow,3,-203,5,-25,8,-3,3,29,7,-4
  └─ CFO/OP,106%,299%,3103%,-6716%,659%,-1%,45%,2831%,-319%,68%
