Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1.43,2.74,6.00,-0.63,-23.17,-0.76,9.37
  └─ Profit from operations,6.07,7.71,11.03,15.26,13.69,11.23,10.62
  └─ Receivables,-2.24,3.79,-4.59,-9.94,4.41,-2.67,-4.26
  └─ Inventory,-0.40,-0.58,-0.58,0.70,-0.03,-0.09,2.67
  └─ Payables,-1.64,0.12,0.75,-1.69,-0.35,3.75,4.34
  └─ Loans Advances,0.46,-0.06,-0.38,-0.31,-26.21,-4.55,1.53
  └─ Operating borrowings,0.94,-0.30,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,-1.33,-6.83,0.87,-1.98,-12.53,-6.93,-4.24
  └─ Working capital changes,-4.21,-3.87,-3.93,-13.22,-34.71,-10.50,0.04
  └─ Direct taxes,-0.42,-1.10,-1.10,-2.67,-2.15,-1.50,-1.28
Cash from Investing Activity,-2.04,-2.81,-5.35,-3.67,-6.05,-11.48,-6.01
  └─ Fixed assets purchased,-2.06,-2.09,-2.84,-3.67,-6.05,-11.48,-6.01
  └─ Interest received,0.04,0.03,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.02,-0.75,-2.52,0.00,0.00,0.00,0.00
Cash from Financing Activity,2.20,-2.04,-1.93,5.48,30.66,11.08,-2.78
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,35.08,0.00,0.00
  └─ Proceeds from borrowings,3.56,0.00,0.04,7.67,0.00,13.30,1.47
  └─ Repayment of borrowings,0.00,-0.66,-0.66,0.00,-2.93,0.00,-4.25
  └─ Interest paid fin,-1.36,-1.39,-1.32,-2.19,-4.15,-2.27,0.00
  └─ Other financing items,0.00,0.00,0.00,0.00,2.67,0.05,0.00
Net Cash Flow,1.59,-2.11,-1.29,1.18,1.45,-1.16,0.58
  └─ Free Cash Flow,-0.63,0.65,3.16,-4.30,-29.22,-12.24,3.36
  └─ CFO/OP,29%,49%,64%,13%,-154%,6%,106%
