Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,13,7,25,20,20,28,98,25,31
  └─ Profit from operations,24,35,56,68,114,61,72,37,101
  └─ Receivables,-8,-13,-8,-42,34,-28,15,-15,-22
  └─ Inventory,-3,-7,-28,-8,-98,7,10,19,-62
  └─ Payables,6,-3,9,16,-3,-12,11,-13,20
  └─ Other WC items,5,0,4,-4,-8,9,-1,2,2
  └─ Working capital changes,-0,-22,-23,-38,-75,-24,36,-8,-62
  └─ Direct taxes,-12,-6,-8,-10,-18,-9,-10,-4,-8
Cash from Investing Activity,-30,-17,-40,-21,-197,-101,-121,-65,-116
  └─ Fixed assets purchased,-30,-10,-48,-21,-89,-203,-129,-76,-114
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0
  └─ Investments purchased,0,0,0,0,0,0,-10,0,-8
  └─ Investments sold,0,1,0,0,0,0,0,10,5
  └─ Interest received,0,0,1,0,5,5,3,0,1
  └─ Other investing items,0,-8,7,0,-112,96,14,0,-1
Cash from Financing Activity,7,17,10,-5,235,38,31,17,79
  └─ Proceeds from shares,0,0,0,0,211,0,197,0,0
  └─ Proceeds from borrowings,16,28,22,18,43,65,0,26,85
  └─ Repayment of borrowings,-6,-7,-9,-19,-14,-14,-155,-3,-1
  └─ Interest paid fin,-2,-3,-3,-4,-4,-8,-7,-1,-3
  └─ Dividends paid,0,0,0,-4,0,-4,-5,-5,-2
  └─ Other financing items,0,0,0,4,-1,0,0,0,0
Net Cash Flow,-10,8,-5,-6,59,-36,8,-24,-5
  └─ Free Cash Flow,-18,-2,-23,-1,-69,-175,-30,-51,-82
  └─ CFO/OP,105%,39%,61%,44%,36%,61%,157%,84%,42%
