Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,2,1,7,9,-11,-7,-3
  └─ Profit from operations,7.59,9.17,12.81,15.37,24.91,27.27,14.83
  └─ Receivables,3.22,-4.91,-12.69,11.12,-15.74,-17.46,11.57
  └─ Inventory,-1.69,-8.93,-4.04,-4.39,-9.29,-16.38,0.07
  └─ Payables,-3.46,-1.16,2.68,-4.06,1.14,7.90,-4.67
  └─ Loans Advances,-2.83,6.30,7.64,-9.27,-9.58,-7.39,0.00
  └─ Other WC items,-0.07,1.68,2.01,1.50,0.31,3.26,-21.19
  └─ Working capital changes,-4.83,-7.01,-4.39,-5.11,-33.16,-30.06,-14.22
  └─ Direct taxes,-0.69,-1.11,-1.56,-1.29,-2.54,-4.68,-3.32
  └─ Other operating items,0.00,0.00,0.06,0.00,0.00,0.00,0.00
  └─ Exceptional CF items,0.00,-0.01,-0.02,0.00,0.00,0.00,0.00
Cash from Investing Activity,-5,-5,-11,-7,-9,-1,-3
  └─ Fixed assets purchased,-0.49,-1.96,-4.08,-7.01,-9.47,-2.83,-4.43
  └─ Capital WIP,-1.71,-3.51,-4.75,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,0.00,-0.06,-0.02,0.00,0.00
  └─ Interest received,0.14,0.09,0.06,0.51,0.55,1.23,1.29
  └─ Other investing items,-2.56,0.00,-2.47,0.01,-0.41,0.77,0.06
Cash from Financing Activity,4,3,6,-4,20,9,6
  └─ Proceeds from borrowings,6.32,4.72,8.73,4.11,28.78,15.81,14.46
  └─ Repayment of borrowings,-0.52,0.00,0.00,-4.78,-3.54,0.00,0.00
  └─ Interest paid fin,-2.24,-2.07,-2.53,-3.56,-5.31,-7.10,-8.65
Net Cash Flow,1,-2,2,-2,-0,0,0
  └─ Free Cash Flow,-0,-4,-2,2,-20,-10,-7
  └─ CFO/OP,37%,23%,67%,68%,-36%,-11%,4%
