Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,50,44,50,66,1,2,-4,1,4,-6,-0,4
  └─ Profit from operations,34.68,36.38,50.18,24.99,-6.64,-0.49,-25.80,-4.71,-0.13,-5.84,-11.42,-19.37
  └─ Receivables,11.51,-2.67,-5.65,7.37,-4.59,2.68,4.39,4.56,4.48,1.56,3.10,9.79
  └─ Inventory,0.00,0.00,0.00,0.00,0.00,0.00,-0.99,0.10,0.89,0.00,0.00,0.00
  └─ Payables,0.00,0.00,-5.49,5.88,12.54,3.58,14.48,-1.10,-3.24,4.06,2.41,2.02
  └─ Loans Advances,0.07,1.63,0.00,0.00,0.00,0.00,0.00,3.37,-0.31,-6.52,0.00,0.00
  └─ Other WC items,3.96,9.88,12.51,30.31,-0.21,-3.08,4.35,-0.77,2.39,0.47,5.74,11.28
  └─ Working capital changes,15.54,8.85,1.37,43.56,7.74,3.18,22.22,6.16,4.22,-0.43,11.25,23.09
  └─ Direct taxes,-0.26,-1.27,-1.14,-2.38,-0.55,-0.50,-0.23,-0.24,-0.24,-0.12,-0.26,-0.07
Cash from Investing Activity,-17,-1,-97,-50,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Fixed assets purchased,-17.31,-0.79,-96.79,-50.52,-0.09,-0.02,-0.02,-0.16,-0.12,-0.03,-0.01,-0.02
  └─ Fixed assets sold,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,-33,-42,47,-17,-0,-2,3,-2,-3,7,1,-5
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,2.00,0.00,0.00
  └─ Proceeds from borrowings,7.14,6.96,100.11,0.00,0.00,0.00,4.18,0.00,0.00,6.06,1.15,0.00
  └─ Repayment of borrowings,-24.64,-37.76,-36.69,-6.69,-0.02,-0.01,0.00,-2.07,-2.11,0.00,0.00,-4.30
  └─ Interest paid fin,-15.03,-11.49,-16.59,-10.03,-0.36,-1.71,-0.90,-1.96,-1.37,-0.99,-0.61,-0.34
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,-0.50,0.00,0.00
Net Cash Flow,0,1,0,-1,0,0,-1,-1,0,0,0,-1
  └─ Free Cash Flow,33,43,-46,16,0,2,-4,1,4,-6,-0,4
  └─ CFO/OP,145%,125%,102%,272%,-19%,276%,14%,-30%,40800%,95%,1%,-19%
