Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-1,272,669,530,-708,-51,-31,21,-42,31,-21,61
  └─ Profit from operations,718.06,818.68,955.85,1018.27,-6.12,19.84,19.42,-2509.32,11.34,16.40,29.64,28.21
  └─ Receivables,-431.03,334.35,25.92,-475.61,-10.74,-49.25,247.88,1079.95,8.07,-4.60,15.34,6.23
  └─ Inventory,-6.88,-337.69,7.87,482.04,13.04,-3.71,2.84,0.87,1.90,1.50,-17.59,2.13
  └─ Payables,-39.30,-98.13,-85.90,319.42,-306.43,34.70,-37.71,-6.55,-9.46,1.11,-1.60,-0.82
  └─ Loans Advances,49.80,-3.12,0.00,0.00,-407.36,978.86,0.00,0.00,0.00,0.00,-36.51,33.46
  └─ Other WC items,-149.57,-150.07,59.51,-430.10,30.66,-1017.00,-259.16,1463.51,-46.33,22.08,-16.16,-5.49
  └─ Working capital changes,-576.97,-254.66,7.40,-104.24,-680.84,-56.40,-46.14,2537.77,-45.82,20.10,-56.53,35.51
  └─ Direct taxes,-142.20,-292.17,-294.50,-384.16,-21.37,-14.24,-3.90,-6.98,-7.14,-5.39,6.30,-2.59
Cash from Investing Activity,-0,-9,54,-99,35,68,50,1,-5,-7,-12,-57
  └─ Fixed assets purchased,-4.36,-13.36,-11.16,-71.18,-72.37,-21.50,-21.33,-7.57,-8.21,-6.85,-14.38,-16.33
  └─ Fixed assets sold,1.21,1.36,47.55,0.00,2.18,13.88,0.00,6.08,2.38,2.18,0.00,0.10
  └─ Investments purchased,-0.75,-0.40,-0.12,-411.28,0.00,0.00,0.00,0.00,0.00,-3.33,0.00,-46.36
  └─ Investments sold,2.36,0.65,0.12,354.05,25.95,0.33,2.10,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,3.05,2.84,2.02,29.64,76.68,75.17,69.48,2.28,0.50,1.42,2.45,5.13
  └─ Dividends received,0.00,0.02,0.00,0.49,0.02,0.02,0.00,0.02,0.02,0.02,0.02,0.01
  └─ Other investing items,-1.76,-0.16,15.28,-0.61,2.59,0.36,-0.01,0.05,0.15,-0.07,-0.12,0.08
Cash from Financing Activity,10,-112,-142,-136,-32,-30,-26,17,25,-9,30,-1
  └─ Proceeds from shares,0.00,0.74,0.07,1.24,0.00,1.84,0.00,0.25,0.02,0.00,0.02,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,30.50,0.00,47.19,0.00
  └─ Repayment of borrowings,-54.85,-40.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-45.71,-12.06,0.00
  └─ Interest paid fin,-67.69,-56.32,-50.09,-10.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Dividends paid,-12.59,-13.23,-66.15,-105.88,-26.47,-26.49,-26.49,-10.59,-5.30,-5.30,-5.40,0.00
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.14
  └─ Share application money,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75,0.00,0.00
  └─ Other financing items,145.33,-2.65,-25.69,-21.55,-5.44,-5.44,0.00,0.00,0.00,0.00,0.00,-0.16
Net Cash Flow,9,151,581,294,-705,-13,-7,39,-22,15,-3,2
  └─ Free Cash Flow,-4,260,705,459,-779,-58,-52,20,-47,26,-35,45
  └─ CFO/OP,20%,69%,102%,91%,3170%,-153%,-96%,156%,-186%,138%,-111%,230%
