Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,48,51,63,68,72,15,49,35,39,98
  └─ Profit from operations,61,66,84,90,79,47,64,59,60,84
  └─ Receivables,-5,-6,10,-19,18,-12,-17,-1,-13,10
  └─ Inventory,1,4,-6,-1,-1,-20,-1,-9,-0,0
  └─ Payables,0,6,1,6,-10,-2,8,2,8,15
  └─ Loans Advances,1,-4,0,0,0,0,0,0,0,0
  └─ Other WC items,-0,1,-10,7,-1,8,1,-7,-8,-1
  └─ Working capital changes,-3,-0,-6,-6,6,-27,-8,-15,-13,24
  └─ Direct taxes,-9,-15,-16,-16,-13,-5,-7,-10,-8,-10
Cash from Investing Activity,-37,-43,-47,-55,-42,-16,-63,-52,-65,-89
  └─ Fixed assets purchased,-38,-38,-42,-22,-61,-33,-40,-94,-59,-110
  └─ Fixed assets sold,1,0,0,0,0,0,0,4,0,0
  └─ Investments purchased,-21,-14,0,0,0,-8,-30,-5,-60,-43
  └─ Investments sold,20,6,0,0,0,24,6,42,51,61
  └─ Interest received,0,1,0,0,1,0,0,1,1,1
  └─ Dividends received,1,1,1,2,0,0,0,0,0,0
  └─ Other investing items,0,0,-6,-35,19,0,0,0,1,1
Cash from Financing Activity,-2,-14,-16,-10,-29,-3,12,29,16,-6
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,4.70,0.00
  └─ Proceeds from borrowings,9.92,12.19,0.00,0.00,0.00,25.39,63.89,111.04,62.42,14.56
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,0.00,-28.15,-51.43,-76.75,-37.61,-12.59
  └─ Interest paid fin,-0.85,-1.77,-2.49,-3.22,-1.90,-0.31,-0.72,-1.01,-6.56,-7.83
  └─ Dividends paid,-7.40,-24.47,-0.03,-8.73,-8.77,-0.08,0.00,-4.75,-7.23,-0.08
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.21
  └─ Other financing items,-3.43,0.00,-13.19,1.47,-18.05,0.00,0.00,0.00,0.00,1.45
Net Cash Flow,9,-6,-0,2,1,-4,-2,11,-10,4
  └─ Free Cash Flow,11,13,20,46,11,-18,9,-55,-19,-11
  └─ CFO/OP,125%,103%,96%,99%,152%,49%,98%,85%,88%,145%
