Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,34.46,30.23,28.52,60.58,65.48,76.05,79.88,91.68
  └─ Sales Growth %,,-12.28%,-5.66%,,8.09%,16.14%,5.04%,
Expenses,31.14,26.10,24.44,54.62,61.98,72.88,82.08,92.02
  └─ Material Cost %,51%,60%,53%,59%,58%,68%,64%,
    └─ Raw material cost,17,18,16,37,40,54,53,
    └─ Change in inventory,0,0,-0,-1,-1,-2,-2,
  └─ Manufacturing Cost %,20%,4%,5%,9%,11%,11%,12%,
  └─ Employee Cost %,6%,7%,9%,10%,9%,9%,11%,
  └─ Other Cost %,14%,16%,18%,12%,16%,9%,16%,
Operating Profit,3.32,4.13,4.08,5.96,3.50,3.17,-2.20,-0.34
OPM %,9.63%,13.66%,14.31%,9.84%,5.35%,4.17%,-2.75%,-0.37%
Other Income,0.76,1.01,0.12,0.02,0.06,0.40,0.01,0.00
  └─ Exceptional items,0.00,0.84,-0.02,-0.04,0.00,0.00,0.00,
  └─ Other income normal,0.76,0.17,0.14,0.06,0.06,0.40,0.01,
Interest,0.64,0.53,0.60,1.04,0.54,0.65,0.73,0.86
Depreciation,0.82,0.88,0.93,2.08,2.08,1.80,1.84,1.86
Profit before tax,2.62,3.73,2.67,2.86,0.94,1.12,-4.76,-3.06
Tax %,32.06%,30.29%,23.22%,27.62%,29.79%,30.36%,0.00%,
Net Profit,1.78,2.60,2.05,2.08,0.66,0.77,-4.77,-3.06
  └─ Exceptional items AT,0,1,-0,-0,0,0,0,
  └─ Profit excl Excep,2,2,2,2,1,1,-5,
  └─ Profit for PE,2,2,2,2,1,1,-5,
  └─ Profit for EPS,2,3,2,2,1,1,-5,
  └─ Profit Growth %,,13%,3%,,-69%,17%,-719%,
EPS in Rs,5.93,8.67,6.83,5.20,1.65,1.92,-11.92,-7.65
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
