Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0.72,0.73,0.55,0.74,0.80,0.89,1.13,1.47
  └─ Sales Growth %,,1.39%,-24.66%,34.55%,8.11%,11.25%,26.97%,30.09%
Expenses,0.61,0.68,0.54,0.68,1.03,0.73,0.80,0.77
  └─ Manufacturing Cost %,5.56%,6.85%,5.45%,5.41%,10.00%,5.62%,5.31%,0.00%
  └─ Employee Cost %,33.33%,38.36%,50.91%,43.24%,50.00%,40.45%,30.09%,21.09%
  └─ Other Cost %,45.83%,47.95%,41.82%,43.24%,68.75%,35.96%,35.40%,31.29%
Operating Profit,0.11,0.05,0.01,0.06,-0.23,0.16,0.33,0.70
OPM %,15.28%,6.85%,1.82%,8.11%,-28.75%,17.98%,29.20%,47.62%
Other Income,0.00,0.08,0.00,0.23,0.22,2.31,0.06,0.19
  └─ Exceptional items,0.00,0.00,0.00,0.23,0.15,0.03,0.01,0.00
  └─ Other income normal,0.00,0.08,0.00,0.00,0.07,2.28,0.05,0.19
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.06,0.06,0.06,0.06,0.05,0.06,0.16,0.22
Profit before tax,0.05,0.07,-0.05,0.23,-0.06,2.41,0.23,0.67
Tax %,20.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.04,0.07,-0.06,0.23,-0.06,2.41,0.23,0.72
  └─ Profit from Associates,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,0,0,-0,0,-0,2,0,1
  └─ Profit for PE,0,0,-0,0,-0,2,0,1
  └─ Profit for EPS,0,0,-0,0,-0,2,0,1
  └─ Profit Growth %,,75%,-186%,100%,,1233%,-91%,227%
EPS in Rs,0.00,0.01,-0.01,0.02,-0.01,0.22,0.02,0.06
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
