Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,1.39,2.31,2.96,6.96,2.64,2.28,1.78,3.69,3.01,4.63,4.92,6.50
  └─ Sales Growth %,117.19%,66.19%,28.14%,135.14%,-62.07%,-13.64%,-21.93%,107.30%,-18.43%,53.82%,6.26%,32.11%
Interest,0.16,0.21,0.40,1.14,1.34,1.32,0.93,0.98,0.76,0.69,0.84,1.26
Expenses,0.98,1.41,2.16,5.21,2.01,2.43,2.81,2.88,2.81,2.35,2.78,2.66
  └─ Material Cost %,0.00%,0.00%,0.00%,47.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
    └─ Raw material cost,0.00,0.00,0.00,3.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
    └─ Change in inventory,0.00,0.00,0.00,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,4.32%,3.90%,2.36%,2.16%,6.06%,2.19%,2.81%,1.90%,1.99%,1.73%,1.42%,0.00%
  └─ Employee Cost %,33.81%,30.30%,52.36%,16.09%,38.64%,69.74%,88.20%,42.55%,40.53%,25.49%,20.73%,14.31%
  └─ Other Cost %,32.37%,26.84%,18.24%,9.20%,31.44%,34.65%,66.85%,33.60%,50.83%,23.54%,34.35%,26.62%
Financing Profit,0.25,0.69,0.40,0.61,-0.71,-1.47,-1.96,-0.17,-0.56,1.59,1.30,2.58
Financing Margin %,17.99%,29.87%,13.51%,8.76%,-26.89%,-64.47%,-110.11%,-4.61%,-18.60%,34.34%,26.42%,39.69%
Other Income,0.09,0.06,0.04,0.07,0.11,0.09,0.18,0.10,0.11,0.14,0.45,0.38
  └─ Other income normal,0.09,0.06,0.04,0.07,0.11,0.09,0.18,0.10,0.11,0.14,0.45,0.38
Depreciation,0.19,0.14,0.10,0.07,0.09,0.29,0.19,0.11,0.20,0.30,0.44,0.46
Profit before tax,0.15,0.61,0.34,0.61,-0.69,-1.67,-1.97,-0.18,-0.65,1.43,1.31,2.50
Tax %,-46.67%,-1.64%,-32.35%,16.39%,2.90%,-1.20%,-22.34%,183.33%,40.00%,32.87%,29.77%,31.20%
Net Profit,0.22,0.63,0.47,0.64,-0.83,-1.65,-1.53,-0.51,-0.92,0.86,0.85,1.71
  └─ Profit from Associates,-0,0,0,0,-0,0,0,0,0,-0,-0,-0
  └─ Profit excl Excep,0,1,0,1,-1,-2,-2,-1,-1,1,1,2
  └─ Profit for PE,0,1,0,1,-1,-2,-2,-1,-1,1,1,2
  └─ Profit for EPS,0,1,0,1,-1,-2,-2,-1,-1,1,1,2
  └─ Profit Growth %,175%,186%,-25%,36%,-230%,-99%,7%,67%,-80%,193%,-1%,101%
EPS in Rs,0.56,1.40,0.98,1.34,-1.73,-3.45,-3.20,-1.07,-1.92,1.80,1.78,3.57
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.01%
