Metric,Mar 2024,Mar 2025,Mar 2026
Sales,71.64,76.61,71.55
  └─ Sales Growth %,,6.94%,-6.60%
Expenses,67.62,72.42,70.51
  └─ Manufacturing Cost %,91%,88%,0%
  └─ Employee Cost %,2%,2%,2%
  └─ Other Cost %,1%,5%,96%
Operating Profit,4.02,4.19,1.04
OPM %,5.61%,5.47%,1.45%
Other Income,2.01,1.36,2.56
  └─ Exceptional items,0.54,-0.41,0.00
  └─ Other income normal,1.47,1.77,2.56
Interest,3.65,2.32,2.19
Depreciation,2.19,1.60,1.75
Profit before tax,0.19,1.63,-0.34
Tax %,-252.63%,23.93%,582.35%
Net Profit,0.67,1.24,-2.32
  └─ Exceptional items AT,1,-0,0
  └─ Profit excl Excep,0,1,-2
  └─ Profit for PE,0,1,-2
  └─ Profit for EPS,1,1,-2
  └─ Profit Growth %,,831%,-256%
EPS in Rs,0.07,0.10,-0.18
Dividend Payout %,0.00%,0.00%,0.00%
