Metric,Mar 20159m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,4.70,0.95,0.21,0.01,0.24,5.48,1.13,0.95,0.07,1.34,0.01,0.00,
  └─ Sales Growth %,,-80%,-78%,-95%,2300%,2183%,-79%,-16%,-93%,1814%,-99%,-100%,725%
Expenses,4.46,1.54,0.61,0.57,0.75,5.67,1.53,1.27,0.32,1.54,0.21,0.21,
  └─ Material Cost %,,66.32%,57.14%,0.00%,66.67%,89.60%,85.84%,86.32%,71.43%,96.27%,0.00%,,79.15%
    └─ Raw material cost,,0.63,0.12,0.00,1.11,4.78,0.97,1.43,0.00,0.00,0.00,0.00,3.72
    └─ Change in inventory,,0.00,0.00,0.00,-0.95,0.13,0.00,-0.61,0.05,1.29,0.00,0.00,0.00
  └─ Manufacturing Cost %,,4.21%,14.29%,300.00%,4.17%,0.18%,0.88%,1.05%,14.29%,0.75%,100.00%,,0.43%
  └─ Employee Cost %,,25.26%,128.57%,3300.00%,150.00%,7.85%,32.74%,32.63%,200.00%,8.96%,900.00%,,3.40%
  └─ Other Cost %,,66.32%,90.48%,2100.00%,91.67%,5.84%,15.93%,13.68%,171.43%,8.96%,1100.00%,,11.91%
Operating Profit,0.24,-0.59,-0.40,-0.56,-0.51,-0.19,-0.40,-0.32,-0.25,-0.20,-0.20,-0.21,
OPM %,5.11%,-62.11%,-190.48%,-5600.00%,-212.50%,-3.47%,-35.40%,-33.68%,-357.14%,-14.93%,-2000.00%,,
Other Income,0.00,0.06,0.41,0.43,0.46,0.21,0.31,0.14,0.06,0.56,0.50,0.37,
  └─ Exceptional items,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00
  └─ Other income normal,,0.06,0.41,0.43,0.46,0.21,0.31,0.14,0.06,0.55,0.48,0.37,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Depreciation,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Profit before tax,0.22,-0.54,0.01,-0.13,-0.05,0.02,-0.09,-0.18,-0.19,0.36,0.30,0.16,
Tax %,13.64%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,31.25%,
Net Profit,0.19,-0.56,0.00,-0.13,-0.05,0.02,-0.09,-0.18,-0.20,0.36,0.15,0.10,
  └─ Exceptional items AT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
  └─ Profit excl Excep,,-0.56,0.00,-0.13,-0.05,0.02,-0.09,-0.18,-0.20,0.35,0.14,0.10,0.19
  └─ Profit for PE,,-0.56,0.00,-0.13,-0.05,0.02,-0.09,-0.18,-0.20,0.35,0.14,0.10,0.19
  └─ Profit for EPS,,-0.56,0.00,-0.13,-0.05,0.02,-0.09,-0.18,-0.20,0.36,0.15,0.10,0.19
  └─ Profit Growth %,,-394.74%,100.00%,,61.54%,140.00%,-550.00%,-100.00%,-11.11%,275.00%,-60.00%,-28.57%,226.67%
EPS in Rs,0.19,-0.56,0.00,-0.13,-0.05,0.02,-0.09,-0.18,-0.20,0.36,0.15,0.10,
Dividend Payout %,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
