Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1,2,90,86,102
  └─ Sales Growth %,,9.86%,5682.69%,-4.49%,18.48%
Expenses,1,1,78,88,97
  └─ Manufacturing Cost %,0%,0%,76%,82%,0%
  └─ Employee Cost %,13%,31%,2%,3%,7%
  └─ Other Cost %,39%,28%,8%,17%,88%
Operating Profit,1,1,12,-1,5
OPM %,49%,42%,13%,-2%,5%
Other Income,-0,-0,0,10,0
  └─ Other income normal,0.00,0.00,0.12,9.51,0.14
Interest,-0,0,3,3,2
Depreciation,-0,-0,0,1,2
Profit before tax,1,1,9,4,1
Tax %,26%,31%,9%,36%,94%
Net Profit,0,0,8,3,0
  └─ Minority share,0,0,0,0,1
  └─ Profit excl Excep,0,0,8,3,0
  └─ Profit for PE,0,0,8,3,1
  └─ Profit for EPS,0,0,8,3,1
  └─ Profit Growth %,,-12%,1702%,-67%,-74%
EPS in Rs,0.54,0.35,6.29,2.04,0.53
Dividend Payout %,-0%,48%,3%,24%,94%
