Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,12.16,17.59,31.61,1.91,0.60,0.00,0.01,1.09,5.57,0.00,0.00
  └─ Sales Growth %,,44.65%,79.70%,-93.96%,-68.59%,-100.00%,,10800.00%,411.01%,-100.00%,
Expenses,12.17,17.64,33.03,3.07,1.36,0.27,0.51,1.70,5.85,0.19,0.37
  └─ Material Cost %,90.13%,94.37%,96.93%,98.43%,150.00%,,2200.00%,137.61%,100.36%,,
    └─ Raw material cost,11.64,16.98,29.17,1.68,1.32,0.00,0.00,0.96,5.45,0.00,0.00
    └─ Change in inventory,-0.68,-0.38,1.47,0.20,-0.42,0.00,0.22,0.54,0.14,0.00,0.00
  └─ Manufacturing Cost %,0.25%,0.28%,0.57%,6.81%,8.33%,,-0.00%,-0.00%,-0.00%,,
  └─ Employee Cost %,1.73%,1.31%,2.06%,15.71%,11.67%,,400.00%,4.59%,1.62%,,
  └─ Other Cost %,7.98%,4.32%,4.94%,39.79%,56.67%,,2500.00%,13.76%,3.05%,,
Operating Profit,-0.01,-0.05,-1.42,-1.16,-0.76,-0.27,-0.50,-0.61,-0.28,-0.19,-0.37
OPM %,-0.08%,-0.28%,-4.49%,-60.73%,-126.67%,,-5000.00%,-55.96%,-5.03%,,
Other Income,0.05,0.23,1.65,-0.59,0.53,0.36,0.35,0.34,0.78,0.81,0.84
  └─ Exceptional items,-0.30,-0.05,0.51,-0.89,0.15,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.35,0.28,1.14,0.30,0.38,0.37,0.35,0.34,0.78,0.81,0.84
Interest,0.01,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01
Depreciation,0.01,0.07,0.25,0.23,0.06,0.01,0.00,0.00,0.00,0.00,0.00
Profit before tax,0.02,0.11,-0.30,-1.98,-0.29,0.08,-0.15,-0.27,0.48,0.61,0.46
Tax %,550.00%,45.45%,-33.33%,5.56%,0.00%,25.00%,0.00%,0.00%,33.33%,22.95%,26.09%
Net Profit,-0.08,0.06,-0.20,-2.09,-0.29,0.06,-0.16,-0.27,0.33,0.46,0.33
  └─ Exceptional items AT,0.98,-0.03,0.51,-0.84,0.15,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-1.06,0.09,-0.71,-1.25,-0.44,0.07,-0.16,-0.27,0.33,0.46,0.33
  └─ Profit for PE,-1.06,0.09,-0.71,-1.25,-0.44,0.07,-0.16,-0.27,0.33,0.46,0.33
  └─ Profit for EPS,-0.08,0.06,-0.20,-2.09,-0.29,0.06,-0.16,-0.27,0.33,0.46,0.33
  └─ Profit Growth %,,108.49%,-888.89%,-76.06%,64.80%,115.91%,-328.57%,-68.75%,222.22%,39.39%,-28.26%
EPS in Rs,-0.09,0.07,-0.23,-2.40,-0.33,0.07,-0.18,-0.31,0.38,0.53,0.38
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
