Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,7.97,5.55,4.65,7.37,6.01,13.22,15.23
  └─ Sales Growth %,,-30.36%,-16.22%,58.49%,-18.45%,119.97%,15.20%
Expenses,7.33,4.97,4.40,5.22,4.48,10.50,12.43
  └─ Material Cost %,41.41%,32.25%,30.75%,-0.00%,-0.17%,-0.15%,41.96%
    └─ Raw material cost,3.30,1.79,-0.00,-0.00,-0.00,-0.00,-0.00
    └─ Change in inventory,-0.00,-0.00,1.43,-0.00,-0.01,-0.02,6.39
  └─ Manufacturing Cost %,1.38%,2.52%,3.01%,33.24%,18.64%,39.26%,-0.00%
  └─ Employee Cost %,24.09%,32.07%,34.62%,28.36%,40.77%,28.59%,29.35%
  └─ Other Cost %,25.09%,22.70%,26.24%,9.23%,15.31%,11.72%,10.31%
Operating Profit,0.64,0.58,0.25,2.15,1.53,2.72,2.80
OPM %,8.03%,10.45%,5.38%,29.17%,25.46%,20.57%,18.38%
Other Income,0.04,0.02,0.29,0.00,0.01,0.10,0.08
  └─ Exceptional items,0.01,0.00,0.00,-0.01,0.00,-0.01,0.00
  └─ Other income normal,0.03,0.02,0.29,0.01,0.01,0.11,0.08
Interest,0.13,0.18,0.18,0.32,0.23,0.20,0.34
Depreciation,0.12,0.09,0.06,0.08,0.07,0.15,0.26
Profit before tax,0.43,0.33,0.30,1.75,1.24,2.47,2.28
Tax %,48.84%,27.27%,30.00%,26.29%,25.00%,27.53%,32.46%
Net Profit,0.24,0.26,0.20,1.30,0.92,1.78,1.55
  └─ Profit from Associates,0.01,0.02,-0.02,0.01,0.00,-0.01,0.01
  └─ Exceptional items AT,0.01,0.00,0.00,-0.01,0.00,-0.01,0.00
  └─ Profit excl Excep,0.23,0.26,0.20,1.31,0.92,1.79,1.55
  └─ Profit for PE,0.23,0.26,0.20,1.31,0.92,1.79,1.55
  └─ Profit for EPS,0.24,0.26,0.20,1.30,0.92,1.78,1.55
  └─ Profit Growth %,,13.04%,-23.08%,555.00%,-29.77%,94.57%,-13.41%
EPS in Rs,186.05,201.55,155.04,6.69,3.17,6.13,5.34
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
