Metric,Mar 2025,Mar 2026
Sales,118,149
  └─ Sales Growth %,,27.06%
Expenses,113,139
  └─ Material Cost %,84%,81%
    └─ Raw material cost,97,128
    └─ Change in inventory,1,-7
  └─ Employee Cost %,2%,3%
  └─ Other Cost %,10%,9%
Operating Profit,4,10
OPM %,4%,7%
Other Income,4,1
  └─ Other income normal,3.71,0.88
Interest,2,2
Depreciation,0,1
Profit before tax,6,8
Tax %,25%,24%
Net Profit,5,6
  └─ Profit excl Excep,4.73,6.19
  └─ Profit for PE,4.73,6.19
  └─ Profit for EPS,4.73,6.19
  └─ Profit Growth %,,30.87%
EPS in Rs,6.78,8.87
Dividend Payout %,0%,0%
