Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,151,233,318,325,261,294,277,317,390,469,546,599
  └─ Sales Growth %,-24.43%,54.70%,36.31%,2.15%,-19.63%,12.74%,-6.03%,14.64%,23.09%,20.21%,16.39%,9.59%
Expenses,160,199,255,264,221,219,211,237,302,353,416,437
  └─ Manufacturing Cost %,13%,7%,4%,4%,5%,6%,5%,7%,7%,6%,5%,0%
  └─ Employee Cost %,72%,64%,30%,36%,53%,58%,56%,54%,57%,56%,57%,55%
  └─ Other Cost %,22%,14%,46%,41%,27%,11%,15%,14%,14%,13%,14%,18%
Operating Profit,-9,34,63,61,40,75,66,80,89,116,130,162
OPM %,-6%,15%,20%,19%,15%,26%,24%,25%,23%,25%,24%,27%
Other Income,9,10,7,7,-5,4,4,6,8,7,28,2
  └─ Exceptional items,0.65,0.47,2.52,4.22,-6.86,2.01,0.45,3.05,2.90,3.08,18.86,-7.81
  └─ Other income normal,8.68,9.30,4.64,2.92,1.72,2.08,3.19,3.40,5.13,3.82,8.81,9.36
Interest,2,2,1,0,0,2,3,2,4,5,5,9
Depreciation,11,8,6,4,5,20,23,23,28,34,43,59
Profit before tax,-12,35,63,64,29,57,44,61,65,85,110,96
Tax %,14%,10%,2%,6%,46%,21%,20%,42%,24%,25%,24%,15%
Net Profit,-14,31,62,60,16,45,35,36,49,64,83,82
  └─ Exceptional items AT,1,0,2,3,-4,2,0,2,2,2,14,-6
  └─ Profit excl Excep,-15,31,60,56,19,43,35,34,47,62,69,89
  └─ Profit for PE,-15,31,60,56,19,43,35,34,47,62,69,89
  └─ Profit for EPS,-14,31,62,60,16,45,35,36,49,64,83,82
  └─ Profit Growth %,43%,308%,95%,-6%,-65%,123%,-20%,-3%,38%,32%,12%,28%
EPS in Rs,-9.23,20.30,40.50,39.07,10.28,29.48,23.05,23.39,32.06,42.00,54.66,53.96
Dividend Payout %,0%,0%,0%,13%,97%,0%,65%,257%,62%,107%,82%,111%
