Metric,Mar 2025,Mar 2026
Sales,77,137
  └─ Sales Growth %,,78%
Expenses,51,87
  └─ Material Cost %,45.51%,43.71%
    └─ Raw material cost,38,66
    └─ Change in inventory,-3,-6
  └─ Manufacturing Cost %,4.44%,-0.00%
  └─ Employee Cost %,8.99%,6.06%
  └─ Other Cost %,7.69%,13.36%
Operating Profit,26,51
OPM %,33%,37%
Other Income,0,1
  └─ Exceptional items,-0.01,0.00
  └─ Other income normal,0.14,0.84
Interest,3,4
Depreciation,1,1
Profit before tax,22,47
Tax %,25%,27%
Net Profit,16,34
  └─ Minority share,-1,-1
  └─ Exceptional items AT,-0,0
  └─ Profit excl Excep,16,34
  └─ Profit for PE,16,33
  └─ Profit for EPS,16,33
  └─ Profit Growth %,,112%
EPS in Rs,11.88,18.49
Dividend Payout %,0%,0%
