Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,19,0,22,54,67,50,66,39,28
  └─ Sales Growth %,,-100.00%,,146.93%,23.44%,-24.75%,31.34%,-41.19%,-28.90%
Expenses,19,0,21,53,63,46,59,35,21
  └─ Material Cost %,99%,,79%,83%,86%,85%,81%,80%,58%
    └─ Raw material cost,19.02,0.00,21.04,49.35,67.15,45.65,56.03,37.84,21.13
    └─ Change in inventory,0.00,0.00,-3.66,-4.07,-9.18,-2.88,-2.65,-6.48,-5.08
  └─ Manufacturing Cost %,0%,,13%,9%,4%,3%,3%,4%,0%
  └─ Employee Cost %,0%,,3%,2%,2%,3%,2%,3%,5%
  └─ Other Cost %,1%,,2%,2%,1%,1%,4%,3%,14%
Operating Profit,-0,-0,1,2,4,4,7,4,6
OPM %,-0%,,3%,3%,7%,9%,11%,10%,23%
Other Income,-0,0,0,0,0,1,2,5,10
  └─ Exceptional items,-0.26,0.24,0.00,0.00,0.31,0.00,1.31,2.68,0.00
  └─ Other income normal,0.01,0.04,0.08,0.04,0.00,0.75,0.44,1.89,9.62
Interest,0,0,0,1,1,1,2,2,1
Depreciation,0,0,0,1,1,0,1,1,1
Profit before tax,-0,-0,0,0,3,4,6,6,14
Tax %,-3%,0%,20%,28%,19%,24%,26%,10%,22%
Net Profit,-0,-0,0,0,2,3,5,5,11
  └─ Profit from Associates,0,-0,-0,0,0,0,0,0,0
  └─ Minority share,0,0,0,0,-0,0,0,0,0
  └─ Exceptional items AT,-0,0,0,0,0,0,1,2,0
  └─ Profit excl Excep,-0,-0,0,0,2,3,4,3,11
  └─ Profit for PE,-0,-0,0,0,2,3,4,3,11
  └─ Profit for EPS,-0,-0,0,0,2,3,5,5,11
  └─ Profit Growth %,,-2050%,107%,400%,1145%,72%,19%,-16%,238%
EPS in Rs,-0.26,-0.18,0.03,0.14,1.19,1.29,1.92,2.20,4.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
