Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,873,1134,2068,3029,3437,4022
  └─ Sales Growth %,,29.84%,82.41%,46.47%,13.45%,17.04%
Expenses,713,948,1773,2512,2918,3437
  └─ Material Cost %,39%,36%,33%,35%,30%,81%
    └─ Raw material cost,342,411,687,1053,1017,3280
    └─ Change in inventory,0,0,0,0,0,-2
  └─ Manufacturing Cost %,39%,42%,49%,44%,51%,0%
  └─ Employee Cost %,2%,2%,1%,2%,1%,1%
  └─ Other Cost %,2%,3%,2%,2%,3%,3%
Operating Profit,160,186,296,518,518,585
OPM %,18%,16%,14%,17%,15%,15%
Other Income,12,13,19,37,56,54
  └─ Exceptional items,2,3,4,12,14,0
  └─ Other income normal,10,10,14,25,43,54
Interest,7,11,52,94,134,160
Depreciation,14,19,38,55,56,62
Profit before tax,151,169,225,405,385,418
Tax %,26%,26%,26%,25%,25%,26%
Net Profit,112,126,167,304,287,309
  └─ Minority share,0,0,0,2,7,3
  └─ Exceptional items AT,1,2,3,9,10,0
  └─ Profit excl Excep,111,124,164,295,276,309
  └─ Profit for PE,111,124,164,297,284,312
  └─ Profit for EPS,112,126,167,306,294,312
  └─ Profit Growth %,,11%,32%,81%,-5%,10%
EPS in Rs,1145.50,16.02,21.29,19.48,16.88,17.90
Dividend Payout %,0%,0%,4%,0%,0%,3%
