Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Sales,50,60,62,64,64,143,190,251
  └─ Sales Growth %,,20.99%,2.51%,3.86%,-1.34%,,32.95%,32.39%
Expenses,47,59,59,62,60,137,179,237
  └─ Manufacturing Cost %,88%,91%,90%,90%,86%,87%,86%,0%
  └─ Employee Cost %,4%,4%,5%,5%,6%,7%,6%,5%
  └─ Other Cost %,2%,2%,1%,2%,2%,2%,2%,89%
Operating Profit,3,2,3,3,4,5,10,14
OPM %,6%,3%,4%,4%,6%,4%,6%,5%
Other Income,0,0,0,0,0,1,1,3
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.26,0.75,0.00
  └─ Other income normal,0.04,0.33,0.15,0.15,0.13,0.51,0.68,3.30
Interest,0,0,0,0,1,0,0,1
Depreciation,0,0,0,0,0,0,1,1
Profit before tax,2,2,2,2,3,6,11,14
Tax %,32%,5%,36%,36%,35%,28%,28%,29%
Net Profit,2,2,1,1,2,4,8,10
  └─ Minority share,0,0,0,0,0,0,0,1
  └─ Exceptional items AT,0,0,0,0,0,0,1,0
  └─ Profit excl Excep,2,2,1,1,2,4,7,10
  └─ Profit for PE,2,2,1,1,2,4,7,12
  └─ Profit for EPS,2,2,1,1,2,4,8,12
  └─ Profit Growth %,,-4%,-7%,-5%,39%,,85%,61%
EPS in Rs,26.47,25.36,23.62,22.51,31.39,3.81,7.22,10.11
Dividend Payout %,0%,0%,0%,0%,0%,13%,7%,0%
