Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,1313,1298,1216,1494,1704,1689,1795,1943,2123,2351,2083,2052,1990
  └─ Sales Growth %,19.96%,-1.13%,-6.34%,22.88%,14.05%,-0.91%,6.27%,8.25%,9.27%,10.73%,-11.40%,-1.50%,
Expenses,1221,1235,1132,1300,1603,1572,1648,1792,1981,2208,1858,1853,1846
  └─ Material Cost %,66%,67%,63%,59%,70%,62%,64%,67%,65%,67%,59%,59%,
    └─ Raw material cost,845,873,854,928,1147,1149,1181,1216,1373,1547,1360,1244,
    └─ Change in inventory,27,-9,-89,-41,44,-107,-34,86,-1,34,-132,-26,
  └─ Manufacturing Cost %,14%,15%,15%,13%,11%,15%,14%,12%,15%,13%,15%,15%,
  └─ Employee Cost %,7%,7%,8%,9%,7%,8%,8%,8%,8%,8%,9%,10%,
  └─ Other Cost %,6%,6%,7%,6%,5%,9%,6%,6%,6%,6%,6%,6%,
Operating Profit,93,64,84,194,101,117,147,151,142,142,224,199,144
OPM %,7%,5%,7%,13%,6%,7%,8%,8%,7%,6%,11%,10%,7%
Other Income,16,8,9,16,16,20,22,17,24,18,23,33,26
  └─ Exceptional items,1.10,0.94,0.17,-1.26,0.11,2.28,-1.60,0.09,1.97,0.60,1.49,1.02,
  └─ Other income normal,15.03,6.60,9.12,17.19,16.33,17.62,23.79,16.91,21.80,17.30,21.32,31.90,
Interest,40,41,35,38,28,24,45,40,40,34,36,35,34
Depreciation,22,18,19,19,19,21,28,29,33,36,39,40,41
Profit before tax,46,13,40,153,70,92,97,99,93,91,173,156,96
Tax %,36%,60%,15%,20%,16%,19%,1%,34%,29%,34%,33%,35%,
Net Profit,32,7,34,122,59,75,96,65,66,60,115,101,61
  └─ Profit from Associates,2,2,0,0,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,1,0,0,-1,0,2,-1,0,1,0,1,1,
  └─ Profit excl Excep,31,7,34,123,59,73,97,65,65,60,114,101,
  └─ Profit for PE,31,7,34,123,59,73,97,65,65,60,114,101,
  └─ Profit for EPS,32,7,34,122,59,75,96,65,66,60,115,101,
  └─ Profit Growth %,658%,-79%,417%,261%,-52%,25%,33%,-33%,0%,-8%,91%,-12%,
EPS in Rs,3.66,0.77,3.92,13.98,6.74,8.61,11.02,7.44,7.61,6.91,13.26,11.66,7.00
Dividend Payout %,19%,26%,15%,14%,12%,14%,9%,20%,20%,14%,15%,17%,
