Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,365,741,1056,1393,2014,2217,2610,3751,4622,5378,5056,5235
  └─ Sales Growth %,-22.50%,102.94%,42.54%,31.88%,44.64%,10.06%,17.71%,43.75%,23.21%,16.37%,-5.99%,3.53%
Expenses,321,663,932,1185,1710,1864,2125,3040,3727,4315,3998,4223
  └─ Material Cost %,81%,38%,39%,39%,0%,40%,45%,48%,46%,42%,47%,72%
    └─ Raw material cost,296,283,409,546,0,893,1186,1792,2144,2263,2373,3755
  └─ Manufacturing Cost %,0%,45%,45%,40%,78%,37%,31%,29%,29%,31%,24%,0%
  └─ Employee Cost %,6%,4%,4%,5%,6%,5%,4%,3%,4%,5%,6%,7%
  └─ Other Cost %,1%,2%,1%,1%,1%,2%,1%,1%,1%,2%,2%,2%
Operating Profit,44,78,124,208,305,353,484,711,895,1064,1058,1012
OPM %,12%,11%,12%,15%,15%,16%,19%,19%,19%,20%,21%,19%
Other Income,3,2,3,5,14,14,6,6,19,34,32,79
  └─ Exceptional items,0,-0,-0,-0,-0,-0,-1,-1,0,16,16,51
  └─ Other income normal,3,2,4,5,14,14,7,7,19,18,15,28
Interest,16,16,19,40,49,60,94,118,154,217,265,469
Depreciation,17,18,26,54,75,76,84,85,96,141,144,168
Profit before tax,14,46,83,119,194,231,312,515,665,740,681,455
Tax %,32%,35%,36%,29%,34%,28%,24%,26%,26%,27%,26%,27%
Net Profit,9,30,53,84,127,167,237,380,493,539,505,330
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,1
  └─ Exceptional items AT,0,-0,-0,-0,-0,-0,-1,-1,0,12,12,33
  └─ Profit excl Excep,9,30,54,84,127,167,238,381,493,527,494,296
  └─ Profit for PE,9,30,54,84,127,167,238,381,493,527,494,297
  └─ Profit for EPS,9,30,53,84,127,167,237,380,493,539,505,330
  └─ Profit Growth %,-46%,228%,77%,57%,51%,31%,42%,60%,29%,7%,-6%,-40%
EPS in Rs,6.05,16.75,29.64,12.93,19.54,25.57,36.31,58.31,75.68,82.64,77.56,50.69
Dividend Payout %,0%,0%,0%,4%,3%,0%,2%,2%,2%,2%,3%,4%
