Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,31571,35949,35576,28279,37092,44958,41952,38516,42177,42652,43571,44873
  └─ Sales Growth %,19.05%,13.87%,-1.04%,-20.51%,31.17%,21.20%,-6.68%,-8.19%,9.51%,1.13%,2.16%,2.99%
Expenses,20771,24281,25348,22224,32976,30042,25006,22547,25424,25580,25523,25870
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
    └─ Raw material cost,138.33,28.90,27.92,7.30,26.00,3.90,3.00,7.00,7.80,15.60,1.70,6.00
    └─ Change in inventory,6.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,57%,59%,61%,68%,76%,56%,50%,50%,52%,52%,51%,0%
  └─ Employee Cost %,5%,5%,5%,5%,6%,5%,5%,5%,4%,5%,5%,5%
  └─ Other Cost %,4%,4%,5%,6%,7%,6%,4%,4%,3%,3%,2%,52%
Operating Profit,10800,11668,10227,6054,4116,14916,16946,15968,16753,17072,18049,19003
OPM %,34%,32%,29%,21%,11%,33%,40%,41%,40%,40%,41%,42%
Other Income,497,641,746,703,1789,-36964,-19563,363,354,917,1100,59148
  └─ Exceptional items,27,6,18,173,1566,-38070,-19928,250,71,828,97,58607
  └─ Other income normal,470,635,729,530,223,1106,365,113,283,89,1003,541
Interest,1060,1803,4010,4847,9545,15393,17998,20981,23354,25766,24543,21495
Depreciation,5304,6256,7827,8409,14536,24356,23638,23584,23050,22634,21973,22108
Profit before tax,4933,4250,-863,-6499,-18175,-61797,-44253,-28234,-29298,-30410,-27368,34548
Tax %,35%,36%,-54%,-36%,-20%,20%,-0%,0%,0%,3%,0%,-0%
Net Profit,3193,2728,-400,-4168,-14604,-73878,-44233,-28245,-29301,-31238,-27383,34552
  └─ Exceptional items AT,17,4,18,173,1566,-30627,-19928,250,71,828,97,58596
  └─ Profit excl Excep,3175,2724,-417,-4341,-16170,-43251,-24305,-28496,-29372,-32066,-27480,-24044
  └─ Profit for PE,3175,2724,-417,-4341,-16170,-43251,-24305,-28496,-29372,-32066,-27480,-24044
  └─ Profit for EPS,3193,2728,-400,-4168,-14604,-73878,-44233,-28245,-29301,-31238,-27383,34552
  └─ Profit Growth %,62%,-14%,-115%,-940%,-273%,-167%,44%,-17%,-3%,-9%,14%,13%
EPS in Rs,2.70,2.30,-0.34,-2.91,-5.08,-25.71,-15.39,-8.79,-6.02,-6.23,-3.84,3.19
Dividend Payout %,7%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
