Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,189,234,239,236,240,200,22,72,251,269,410,374
  └─ Sales Growth %,,23.52%,2.18%,-1.17%,1.73%,-16.77%,-89.02%,228.05%,247.79%,7.44%,52.38%,-8.87%
Expenses,169,194,178,174,193,204,57,40,165,164,235,258
  └─ Material Cost %,8.50%,10.59%,10.10%,10.99%,10.16%,10.91%,12.80%,-33.65%,11.09%,10.62%,9.97%,10.51%
    └─ Raw material cost,17.89,26.87,24.61,25.53,23.52,21.67,2.44,7.18,29.43,28.40,40.88,38.52
    └─ Change in inventory,-1.78,-2.08,-0.46,0.44,0.90,0.16,0.37,-31.42,-1.64,0.18,0.03,0.79
  └─ Manufacturing Cost %,13.19%,14.42%,14.11%,14.23%,15.74%,18.82%,59.38%,30.25%,19.05%,21.96%,19.70%,0.00%
  └─ Employee Cost %,25.49%,25.56%,23.38%,20.76%,22.60%,26.21%,128.01%,34.27%,18.09%,13.76%,11.31%,13.95%
  └─ Other Cost %,41.99%,32.46%,26.98%,27.56%,31.97%,45.93%,58.61%,24.28%,17.78%,14.47%,16.24%,44.50%
Operating Profit,20,40,61,63,47,-4,-35,32,85,106,175,116
OPM %,11%,17%,25%,26%,20%,-2%,-159%,45%,34%,39%,43%,31%
Other Income,2,5,0,1,6,1,24,3,78,519,7,10
  └─ Exceptional items,0.00,0.00,-0.10,0.29,0.00,0.00,0.00,0.00,-3.91,512.90,0.81,0.19
  └─ Other income normal,1.83,4.59,0.52,0.99,6.29,0.61,24.50,3.24,81.68,5.79,6.68,10.15
Interest,115,111,121,128,134,152,163,188,53,2,11,20
Depreciation,80,88,95,93,102,243,96,91,-51,79,89,98
Profit before tax,-172,-154,-154,-156,-182,-397,-269,-244,161,543,83,9
Tax %,-38%,-33%,-23%,0%,91%,0%,0%,0%,-122%,0%,7%,93%
Net Profit,-107,-104,-118,-156,-348,-397,-269,-244,357,541,77,1
  └─ Exceptional items AT,0,0,-0,0,0,0,0,0,-4,511,1,0
  └─ Profit excl Excep,-107,-104,-118,-157,-348,-397,-269,-244,361,30,76,1
  └─ Profit for PE,-107,-104,-118,-157,-348,-397,-269,-244,361,30,76,1
  └─ Profit for EPS,-107,-104,-118,-156,-348,-397,-269,-244,357,541,77,1
  └─ Profit Growth %,,3%,-14%,-33%,-122%,-14%,32%,9%,248%,-92%,152%,-99%
EPS in Rs,-13.43,-13.00,-14.80,-17.75,-39.49,-45.13,-30.51,-27.60,8.68,11.23,1.36,0.01
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
