Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,8,8,8,5,6,3,8,7,7,6,7,7
  └─ Sales Growth %,188.81%,-2.38%,6.15%,-35.59%,6.93%,-41.16%,142.86%,-15.20%,5.92%,-17.46%,20.83%,-9.99%
Expenses,1,1,1,1,1,3,1,1,1,1,1,1
  └─ Manufacturing Cost %,0.25%,0.38%,0.24%,0.37%,2.63%,72.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,4.50%,3.59%,2.90%,2.81%,3.33%,5.95%,2.82%,3.61%,3.14%,3.14%,2.87%,0.00%
  └─ Other Cost %,5.12%,6.91%,7.60%,9.18%,5.25%,12.20%,5.76%,5.35%,11.32%,10.08%,12.04%,15.65%
Operating Profit,7,7,7,5,5,0,7,6,6,5,6,6
OPM %,90%,89%,89%,88%,89%,9%,91%,91%,86%,87%,85%,84%
Other Income,0,0,0,0,0,26,20,32,39,45,53,58
  └─ Exceptional items,0,0,0,0,0,5,0,0,0,0,0,0
  └─ Other income normal,0,0,0,0,0,21,20,32,39,45,53,58
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,7,7,7,5,5,26,27,38,46,50,60,64
Tax %,6%,2%,4%,7%,25%,7%,4%,4%,2%,2%,-0%,0%
Net Profit,21,21,21,20,19,24,26,37,45,49,60,64
  └─ Profit from Associates,15,15,14,16,15,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,4,0,0,0,0,0,0
  └─ Profit excl Excep,21,21,21,20,19,20,26,37,45,49,60,64
  └─ Profit for PE,21,21,21,20,19,20,26,37,45,49,60,64
  └─ Profit for EPS,21,21,21,20,19,24,26,37,45,49,60,64
  └─ Profit Growth %,924%,1%,-2%,-5%,-5%,7%,30%,40%,21%,11%,21%,7%
EPS in Rs,125.24,125.94,120.44,114.31,108.41,140.09,157.12,220.01,266.86,295.14,356.25,380.30
Dividend Payout %,15%,27%,21%,22%,23%,18%,16%,23%,23%,31%,31%,0%
