Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,650,649,594,783,966,1133,1306,1587
  └─ Sales Growth %,,-0.16%,-8.51%,31.81%,23.40%,17.34%,15.23%,21.52%
Expenses,506,516,459,615,761,882,1021,1244
  └─ Material Cost %,36.96%,43.66%,41.72%,43.15%,44.80%,44.45%,44.22%,44.56%
    └─ Raw material cost,270,251,239,429,489,466,594,687
    └─ Change in inventory,-29,33,9,-91,-57,38,-17,20
  └─ Manufacturing Cost %,11.05%,9.44%,13.64%,15.16%,15.05%,13.09%,15.01%,15.57%
  └─ Employee Cost %,8.74%,9.98%,10.44%,9.70%,9.01%,9.77%,9.11%,9.76%
  └─ Other Cost %,21.14%,16.46%,11.53%,10.56%,9.88%,10.47%,9.84%,8.50%
Operating Profit,144,133,135,168,205,252,285,343
OPM %,22%,20%,23%,21%,21%,22%,22%,22%
Other Income,28,48,15,21,19,30,48,42
  └─ Exceptional items,17.28,32.46,-0.05,1.67,2.24,-0.02,7.03,-3.01
  └─ Other income normal,10.33,15.88,15.18,19.21,16.93,29.78,40.51,44.84
Interest,27,26,7,2,4,6,9,9
Depreciation,9,12,12,12,14,18,25,34
Profit before tax,135,144,131,174,207,258,299,342
Tax %,-44%,32%,27%,25%,25%,24%,24%,25%
Net Profit,193,97,96,130,155,196,226,258
  └─ Exceptional items AT,-0,19,-0,1,2,-0,5,-2
  └─ Profit excl Excep,194,79,96,129,153,196,221,260
  └─ Profit for PE,194,79,96,129,153,196,221,260
  └─ Profit for EPS,193,97,96,130,155,196,226,258
  └─ Profit Growth %,,-59%,22%,34%,18%,28%,13%,18%
EPS in Rs,213.05,107.23,105.89,14.38,17.05,21.59,24.90,28.41
Dividend Payout %,0%,0%,0%,10%,67%,51%,8%,7%
