Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2709,4445,3405,465,1436,760,711,625,733,1746,3557,4397
  └─ Sales Growth %,72.90%,64.09%,-23.41%,-86.34%,208.94%,-47.08%,-6.51%,-12.12%,17.35%,138.24%,103.69%,23.62%
Expenses,2284,3711,2863,548,1287,877,902,925,926,1484,2800,3506
  └─ Material Cost %,62%,62%,56%,25%,58%,35%,64%,62%,67%,59%,58%,55%
    └─ Raw material cost,1815,2716,1920,47,883,295,422,430,512,1038,2054,2397
    └─ Change in inventory,-144,29,-30,71,-46,-29,34,-41,-22,-7,20,38
  └─ Manufacturing Cost %,16%,15%,20%,47%,20%,37%,21%,22%,23%,12%,7%,0%
  └─ Employee Cost %,2%,2%,3%,21%,7%,12%,13%,14%,12%,6%,5%,5%
  └─ Other Cost %,5%,4%,6%,24%,5%,31%,29%,50%,24%,8%,8%,20%
Operating Profit,425,734,542,-83,149,-116,-191,-300,-193,262,757,891
OPM %,16%,17%,16%,-18%,10%,-15%,-27%,-48%,-26%,15%,21%,20%
Other Income,47,48,84,26,23,11,76,19,-65,46,134,172
  └─ Exceptional items,4,7,-0,0,-0,1,12,-9,-86,-16,-11,0
  └─ Other income normal,43,42,84,26,23,10,63,28,21,62,144,172
Interest,62,98,155,171,169,244,255,283,327,240,169,200
Depreciation,20,35,44,52,66,80,88,89,98,113,182,204
Profit before tax,389,649,427,-280,-62,-430,-459,-653,-684,-45,539,659
Tax %,24%,29%,29%,-33%,-36%,-35%,-33%,-26%,4%,7%,19%,32%
Net Profit,296,461,303,-188,-40,-279,-307,-483,-712,-48,438,449
  └─ Minority share,0,0,0,0,0,-0,2,2,4,12,11,-44
  └─ Exceptional items AT,3,5,-0,0,-0,1,12,-9,-68,-13,-11,0
  └─ Profit excl Excep,294,456,304,-188,-40,-280,-319,-473,-644,-35,449,449
  └─ Profit for PE,294,456,304,-188,-39,-280,-318,-471,-641,-26,459,405
  └─ Profit for EPS,296,461,303,-188,-40,-280,-306,-480,-709,-36,448,405
  └─ Profit Growth %,124%,55%,-33%,-162%,79%,-613%,-13%,-48%,-36%,96%,1848%,-12%
EPS in Rs,3.14,4.88,3.21,-1.99,-0.42,-2.96,-3.24,-5.08,-5.11,-0.26,3.23,2.34
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
