Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,3505,3767,4053,4658,5424,5280,5074,6369,7543,7801,7823,8052
  └─ Sales Growth %,12.35%,7.46%,7.58%,14.94%,16.45%,-2.66%,-3.90%,25.52%,18.42%,3.43%,0.28%,2.93%
Expenses,3054,3182,3315,3864,4672,4476,4211,5720,6725,6774,6881,7077
  └─ Material Cost %,61%,63%,52%,61%,57%,55%,54%,61%,62%,58%,58%,65%
    └─ Raw material cost,2073,2381,2129,2944,3269,2853,2869,4186,4799,4524,4546,5090
    └─ Change in inventory,63,-13,-34,-118,-202,49,-106,-293,-95,1,9,107
  └─ Manufacturing Cost %,10%,3%,9%,2%,10%,9%,10%,10%,9%,9%,9%,0%
  └─ Employee Cost %,4%,5%,5%,5%,5%,6%,6%,6%,5%,6%,6%,7%
  └─ Other Cost %,12%,14%,16%,15%,15%,15%,13%,13%,13%,14%,15%,17%
Operating Profit,451,585,737,794,753,804,863,649,818,1028,942,975
OPM %,13%,16%,18%,17%,14%,15%,17%,10%,11%,13%,12%,12%
Other Income,22,563,98,71,61,26,38,25,26,753,769,83
  └─ Exceptional items,5,542,56,30,23,9,13,15,8,703,690,-63
  └─ Other income normal,16,21,42,41,38,17,26,11,18,51,79,146
Interest,1,0,0,1,10,21,24,29,29,29,31,32
Depreciation,68,68,70,77,106,142,165,170,180,190,202,228
Profit before tax,404,1079,765,787,697,667,712,476,635,1561,1478,797
Tax %,32%,16%,33%,35%,36%,23%,26%,28%,26%,25%,25%,28%
Net Profit,275,902,510,514,448,516,526,343,468,1176,1109,576
  └─ Minority share,-1,-1,-1,1,5,5,4,16,5,10,34,14
  └─ Exceptional items AT,3,428,37,20,15,7,9,11,6,529,518,-46
  └─ Profit excl Excep,272,474,473,494,433,509,516,333,463,647,591,621
  └─ Profit for PE,271,473,472,495,438,514,520,348,468,656,625,635
  └─ Profit for EPS,274,901,509,514,453,521,530,359,474,1185,1143,589
  └─ Profit Growth %,31%,75%,-0%,5%,-11%,17%,1%,-33%,34%,40%,-5%,2%
EPS in Rs,3.39,11.15,6.29,6.36,5.60,6.44,6.55,4.44,5.86,14.66,14.14,7.29
Dividend Payout %,28%,18%,32%,27%,31%,33%,53%,34%,31%,26%,27%,51%
