Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,11,11,24,33,61,202,164,201,256
  └─ Sales Growth %,,-0.19%,126.21%,39.19%,83.62%,229.78%,-18.83%,22.70%,27.69%
Expenses,8,6,16,20,29,133,114,122,160
  └─ Manufacturing Cost %,58%,31%,53%,48%,37%,62%,61%,47%,0%
  └─ Employee Cost %,10%,15%,7%,6%,4%,2%,3%,3%,4%
  └─ Other Cost %,8%,13%,8%,6%,5%,2%,6%,10%,58%
Operating Profit,3,4,8,13,32,69,50,78,97
OPM %,24%,41%,32%,40%,53%,34%,30%,39%,38%
Other Income,0,0,0,0,1,1,3,5,16
  └─ Exceptional items,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,-0.01,0.00
  └─ Other income normal,0.04,0.03,0.27,0.13,0.51,1.38,3.13,5.20,15.58
Interest,0,1,1,2,2,2,4,10,15
Depreciation,0,1,2,2,2,4,8,11,19
Profit before tax,2,3,5,9,28,63,41,62,79
Tax %,34%,10%,20%,28%,25%,26%,25%,20%,-0%
Net Profit,1,3,5,7,21,48,31,50,79
  └─ Profit from Associates,0,0,1,-0,0,0,0,0,0
  └─ Minority share,-0,-1,-0,-0,-1,-0,0,0,-0
  └─ Exceptional items AT,0,0,0,-0,0,0,0,-0,0
  └─ Profit excl Excep,1,3,5,7,21,48,31,50,79
  └─ Profit for PE,1,2,5,7,20,47,31,50,79
  └─ Profit for EPS,1,2,5,7,20,47,31,50,79
  └─ Profit Growth %,,44%,139%,44%,211%,133%,-36%,62%,59%
EPS in Rs,,3.80,9.08,3.18,9.93,21.99,14.13,22.96,32.24
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
