Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales,206,226,260,260,268,311,357,362,484,526,454,497
  └─ Sales Growth %,,9.53%,15.02%,0.26%,3.07%,15.91%,14.71%,1.44%,33.67%,8.64%,-13.61%,9.52%
Expenses,175,199,241,244,246,287,326,332,443,482,411,458
  └─ Material Cost %,43.26%,44.47%,49.93%,54.53%,50.91%,47.96%,48.08%,47.42%,52.35%,51.93%,46.64%,48.42%
    └─ Raw material cost,97,127,141,139,143,158,169,180,253,300,208,265
    └─ Change in inventory,-8,-27,-11,3,-6,-9,3,-8,0,-27,4,-24
  └─ Manufacturing Cost %,6.59%,6.98%,5.30%,4.62%,5.43%,9.70%,8.11%,8.62%,6.18%,6.59%,6.84%,6.87%
  └─ Employee Cost %,9.99%,10.45%,10.16%,9.62%,11.57%,13.43%,12.25%,12.71%,11.98%,12.32%,14.66%,15.33%
  └─ Other Cost %,25.05%,26.30%,27.36%,24.77%,23.83%,21.13%,22.92%,22.93%,21.01%,20.88%,22.41%,21.46%
Operating Profit,31,27,19,17,22,24,31,30,41,44,43,39
OPM %,15%,12%,7%,6%,8%,8%,9%,8%,8%,8%,9%,8%
Other Income,1,2,8,0,0,0,-4,-0,0,-0,-1,0
  └─ Exceptional items,-0.06,0.07,2.50,-1.35,-0.54,-0.15,-3.82,-0.40,-0.20,-0.71,-1.18,-0.42
  └─ Other income normal,1.33,1.81,5.43,1.75,0.90,0.17,0.25,0.24,0.35,0.48,0.34,0.47
Interest,5,9,15,15,10,10,14,14,16,16,16,16
Depreciation,4,5,8,8,8,9,10,10,11,12,14,14
Profit before tax,23,14,4,-6,4,6,4,5,14,15,12,10
Tax %,21%,18%,14%,-3%,3%,-0%,-10%,-2%,5%,-14%,18%,36%
Net Profit,18,12,4,-6,4,6,4,5,13,17,10,6
  └─ Minority share,-0.13,-0.21,0.37,0.33,0.22,0.12,0.17,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,-0.05,0.06,1.40,-1.07,-0.33,-0.10,-2.37,-0.30,-0.15,-0.58,-0.93,-0.34
  └─ Profit excl Excep,18.53,11.63,2.23,-4.53,4.45,6.16,6.58,5.69,13.42,17.50,10.99,6.73
  └─ Profit for PE,18.40,11.42,2.60,-4.26,4.67,6.28,6.75,5.69,13.42,17.50,10.99,6.73
  └─ Profit for EPS,18.35,11.48,4.00,-5.27,4.34,6.18,4.38,5.39,13.27,16.92,10.06,6.39
  └─ Profit Growth %,,-37.93%,-77.24%,-263.96%,209.55%,34.48%,7.48%,-15.70%,135.85%,30.40%,-37.20%,-38.76%
EPS in Rs,10.77,6.74,2.35,-3.09,2.55,3.63,2.57,3.16,7.79,9.93,5.90,3.75
Dividend Payout %,46%,0%,0%,0%,0%,0%,0%,0%,19%,15%,0%,0%
