Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1252,1271,1649,1851,1602,1426,1751,2320,2637,3400,4184
  └─ Sales Growth %,,1.49%,29.78%,12.25%,-13.50%,-10.96%,22.81%,32.44%,13.67%,28.97%,23.05%
Expenses,1164,1170,1515,1698,1443,1326,1616,2112,2405,3120,3779
  └─ Material Cost %,67%,64%,66%,66%,55%,60%,61%,62%,63%,60%,62%
    └─ Raw material cost,767,818,1104,1219,882,867,1072,1471,1674,2030,2620
    └─ Change in inventory,73,-0,-14,-6,-5,-8,-8,-27,-25,-5,-13
  └─ Manufacturing Cost %,8%,8%,7%,7%,14%,11%,11%,10%,10%,15%,0%
  └─ Employee Cost %,11%,13%,11%,12%,13%,15%,14%,12%,12%,11%,11%
  └─ Other Cost %,7%,7%,7%,7%,8%,7%,7%,6%,7%,6%,17%
Operating Profit,89,101,135,154,158,100,135,208,231,280,405
OPM %,7%,8%,8%,8%,10%,7%,8%,9%,9%,8%,10%
Other Income,4,17,19,57,19,27,3,51,70,84,43
  └─ Exceptional items,0,0,0,36,-0,3,-17,-4,1,0,-18
  └─ Other income normal,4,16,19,21,19,24,20,55,69,84,61
Interest,13,11,8,16,22,29,22,30,49,73,74
Depreciation,38,41,48,60,64,65,64,80,93,113,152
Profit before tax,41,65,98,134,92,33,53,149,159,178,223
Tax %,10%,16%,27%,23%,22%,45%,23%,31%,30%,21%,22%
Net Profit,52,54,71,104,72,18,41,103,111,140,172
  └─ Profit from Associates,15,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,28,-0,1,-13,-3,0,0,-14
  └─ Profit excl Excep,52,54,71,76,72,17,54,106,111,140,186
  └─ Profit for PE,52,54,71,76,72,17,54,106,111,140,186
  └─ Profit for EPS,52,54,71,104,72,18,41,103,111,140,172
  └─ Profit Growth %,,4%,32%,6%,-5%,-77%,220%,97%,4%,26%,33%
EPS in Rs,55.66,58.16,76.34,111.03,76.92,19.42,43.56,110.27,118.77,149.67,184.51
Dividend Payout %,22%,25%,30%,32%,31%,36%,31%,24%,29%,23%,30%
