Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,835,903,965,1013,1187,1141,1108,1508,1847,2822,3637,4870
  └─ Sales Growth %,9.80%,8.13%,6.95%,4.94%,17.16%,-3.88%,-2.89%,36.10%,22.52%,52.74%,28.88%,33.92%
Expenses,768,834,892,925,1077,1050,1009,1357,1647,2453,3171,4212
  └─ Material Cost %,74%,73%,70%,69%,67%,66%,67%,67%,64%,60%,57%,64%
    └─ Raw material cost,625,662,676,703,788,756,744,1011,1190,1705,2105,3136
    └─ Change in inventory,-5,-4,4,-5,5,-3,-5,-6,0,-10,-23,-9
  └─ Manufacturing Cost %,5%,5%,6%,6%,7%,8%,7%,7%,8%,9%,12%,0%
  └─ Employee Cost %,8%,9%,10%,10%,11%,12%,12%,11%,11%,13%,13%,13%
  └─ Other Cost %,5%,5%,7%,6%,6%,6%,6%,5%,6%,5%,5%,10%
Operating Profit,67,68,73,88,110,91,98,151,201,369,465,659
OPM %,8%,8%,8%,9%,9%,8%,9%,10%,11%,13%,13%,14%
Other Income,25,7,10,22,21,26,17,11,15,45,51,32
  └─ Exceptional items,21.32,0.18,-3.08,-1.87,-4.40,0.17,1.60,-0.92,-5.08,0.89,5.55,-14.50
  └─ Other income normal,4.16,6.85,13.31,23.44,24.98,26.17,15.60,11.98,20.15,44.06,45.48,46.42
Interest,5,5,4,2,3,10,10,10,17,69,80,105
Depreciation,19,21,24,24,27,35,34,40,52,118,129,179
Profit before tax,68,50,56,82,100,73,72,113,147,227,308,406
Tax %,31%,31%,28%,31%,31%,19%,28%,27%,24%,26%,26%,17%
Net Profit,47,34,40,57,69,59,51,82,111,167,229,337
  └─ Minority share,-2,-2,-6,-8,-3,-1,-4,-12,-19,-37,-51,-58
  └─ Exceptional items AT,15,0,-2,-1,-3,0,1,-1,-4,1,4,-11
  └─ Profit excl Excep,32,34,42,58,72,59,50,83,115,166,225,348
  └─ Profit for PE,30,32,36,50,69,58,46,70,96,130,175,288
  └─ Profit for EPS,45,32,34,49,66,58,47,69,93,130,178,279
  └─ Profit Growth %,1%,4%,15%,37%,38%,-16%,-20%,52%,37%,35%,35%,65%
EPS in Rs,6.60,4.66,5.06,7.15,9.67,8.52,6.91,10.18,13.63,19.10,26.08,40.91
Dividend Payout %,21%,20%,19%,28%,31%,35%,43%,34%,33%,29%,21%,13%
