Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1962,2343,2281,511,154,213,203,164,159,122,128,176
  └─ Sales Growth %,11.07%,19.42%,-2.62%,-77.61%,-69.82%,38.03%,-4.67%,-18.95%,-3.04%,-23.20%,4.83%,37.20%
Expenses,1718,2079,2259,454,224,267,99,133,102,70,83,166
  └─ Material Cost %,77%,75%,89%,7%,27%,10%,18%,0%,0%,0%,0%,4%
    └─ Raw material cost,1516.88,1766.53,2027.99,36.87,41.23,22.12,37.25,0.00,0.00,0.00,0.00,7.15
  └─ Manufacturing Cost %,7%,9%,5%,13%,24%,13%,13%,27%,24%,20%,10%,0%
  └─ Employee Cost %,2%,2%,2%,2%,7%,7%,6%,9%,9%,11%,10%,7%
  └─ Other Cost %,2%,3%,3%,67%,87%,95%,11%,45%,31%,26%,45%,83%
Operating Profit,243,263,22,57,-70,-54,104,32,58,53,45,10
OPM %,12%,11%,1%,11%,-46%,-25%,51%,19%,36%,43%,35%,6%
Other Income,3,19,38,230,-197,387,129,96,142,131,398,112
  └─ Exceptional items,-0,-1,-1,164,-284,285,9,0,-0,0,278,17
  └─ Other income normal,3,20,39,66,87,103,120,96,142,131,120,96
Interest,107,138,159,252,19,67,162,116,178,160,214,38
Depreciation,20,33,27,23,20,55,96,67,72,63,61,54
Profit before tax,119,112,-126,12,-306,212,-25,-55,-51,-39,169,30
Tax %,31%,22%,-49%,-58%,-14%,-25%,-357%,-100%,-0%,-0%,-0%,176%
Net Profit,82,87,-64,19,-264,265,63,0,-51,-39,169,-23
  └─ Minority share,0,0,0,4,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,-0,-1,-1,164,-284,285,9,0,-0,0,278,-13
  └─ Profit excl Excep,82,88,-63,-145,20,-19,54,0,-50,-39,-109,-10
  └─ Profit for PE,82,88,-63,-141,20,-19,54,0,-50,-39,-109,-10
  └─ Profit for EPS,82,87,-64,23,-264,265,63,0,-51,-39,169,-23
  └─ Profit Growth %,6%,7%,-172%,-124%,114%,-198%,377%,-100%,-38946%,22%,-177%,91%
EPS in Rs,19.66,20.95,-15.48,5.47,-25.19,25.32,6.05,0.01,-4.82,-3.75,13.83,-1.48
Dividend Payout %,8%,7%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
