Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,772,1080,1923,2751,2450,2358,3626,4298,4178,7106,8340,9374
  └─ Sales Growth %,65.40%,39.93%,78.09%,43.09%,-10.96%,-3.76%,53.78%,18.54%,-2.80%,70.10%,17.35%,12.40%
Expenses,516,647,915,1357,1543,1546,1610,2178,2301,3024,3794,5504
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.20%
    └─ Raw material cost,0,0,0,0,0,0,0,0,0,0,0,1425
  └─ Manufacturing Cost %,2.29%,1.65%,0.96%,18.58%,19.75%,30.14%,18.23%,21.55%,21.70%,17.00%,16.91%,0.00%
  └─ Employee Cost %,24.64%,23.25%,18.38%,17.89%,20.48%,22.89%,17.75%,20.43%,24.14%,18.71%,20.88%,21.05%
  └─ Other Cost %,39.88%,35.07%,28.24%,12.87%,22.75%,12.54%,8.42%,8.68%,9.23%,6.85%,7.70%,22.47%
Operating Profit,256,432,1008,1394,907,812,2016,2120,1877,4082,4546,3870
OPM %,33%,40%,52%,51%,37%,34%,56%,49%,45%,57%,55%,41%
Other Income,1,1,-27,1,12,8,-80,18,19,71,78,42
  └─ Exceptional items,0.00,0.08,-27.71,0.10,0.02,0.93,-84.37,0.05,0.00,-0.94,0.09,0.00
  └─ Other income normal,1.09,0.83,0.61,0.90,11.80,6.60,4.46,18.31,19.36,72.26,77.59,42.45
Interest,31,174,442,528,517,494,430,475,596,1039,1298,1336
Depreciation,31,35,33,37,24,40,48,48,58,83,99,111
Profit before tax,196,225,506,829,378,285,1458,1616,1242,3032,3226,2465
Tax %,27%,27%,28%,25%,25%,24%,18%,19%,25%,19%,22%,24%
Net Profit,145,172,371,632,298,190,1265,1312,935,2446,2508,1872
  └─ Profit from Associates,2,8,6,9,13,-26,62,2,2,-0,0,7
  └─ Minority share,-2,-3,-11,-10,-4,-6,-4,-3,-3,-5,-7,-3
  └─ Exceptional items AT,0,0,-19,0,0,0,-69,0,0,-1,0,0
  └─ Profit excl Excep,145,172,389,632,298,189,1334,1312,935,2446,2508,1872
  └─ Profit for PE,144,169,378,622,294,183,1329,1310,932,2442,2502,1869
  └─ Profit for EPS,144,169,360,622,294,183,1260,1310,932,2441,2502,1869
  └─ Profit Growth %,102%,18%,124%,65%,-53%,-38%,627%,-1%,-29%,162%,2%,-25%
EPS in Rs,2.56,2.97,6.23,10.72,5.04,3.10,21.49,21.97,15.74,40.96,41.74,31.06
Dividend Payout %,29%,29%,22%,20%,42%,32%,12%,11%,16%,9%,12%,19%
