Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,15,15,15,12,10,6,2,5,5,6,7,7
  └─ Sales Growth %,,2.99%,-2.77%,-20.83%,-16.54%,-36.24%,-59.90%,84.34%,18.30%,14.18%,12.42%,-1.87%
Expenses,13,11,12,10,12,12,5,7,10,6,8,9
  └─ Manufacturing Cost %,7%,8%,6%,11%,13%,18%,45%,21%,19%,21%,18%,0%
  └─ Employee Cost %,18%,19%,20%,27%,30%,43%,102%,53%,45%,40%,35%,32%
  └─ Other Cost %,61%,48%,53%,49%,83%,128%,49%,75%,119%,36%,58%,94%
Operating Profit,2,4,3,2,-3,-6,-2,-2,-4,0,-1,-2
OPM %,14%,25%,21%,13%,-26%,-89%,-95%,-49%,-82%,3%,-12%,-27%
Other Income,5,5,1,1,1,4,2,2,4,3,3,163
  └─ Exceptional items,4,4,0,0,0,0,0,0,0,0,-0,161
  └─ Other income normal,1,1,1,1,1,4,2,2,3,3,3,3
Interest,7,6,5,4,1,1,1,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,-1,2,-2,-2,-4,-3,-2,-2,-3,1,1,160
Tax %,28%,27%,-31%,-39%,-19%,1%,0%,0%,0%,0%,0%,8%
Net Profit,-2,-0,-2,-1,-4,-3,-2,-2,-3,1,1,147
  └─ Profit from Associates,-1,-1,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,4,3,0,0,0,0,0,0,0,0,-0,147
  └─ Profit excl Excep,-6,-3,-2,-1,-4,-3,-2,-2,-3,1,1,-0
  └─ Profit for PE,-6,-3,-2,-1,-4,-3,-2,-2,-3,1,1,-0
  └─ Profit for EPS,-2,-0,-2,-1,-4,-3,-2,-2,-3,1,1,147
  └─ Profit Growth %,,48%,47%,23%,-187%,4%,46%,-32%,-15%,140%,-28%,-133%
EPS in Rs,-0.57,-0.01,-0.42,-0.33,-0.94,-0.90,-0.48,-0.64,-0.68,0.30,0.21,37.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
