Metric,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,123,200,144,150,191,220,226,260,313,320,305,307,
  └─ Sales Growth %,-8.51%,,-28.14%,4.13%,27.67%,15.14%,2.81%,15.01%,20.48%,2.22%,-4.82%,0.57%,62.20%
Expenses,124,178,125,124,155,170,181,209,252,260,262,278,
  └─ Material Cost %,30.83%,,17.67%,12.33%,17.77%,14.15%,12.40%,17.18%,16.18%,11.02%,8.86%,12.00%,21.08%
    └─ Raw material cost,33.29,,26.40,18.30,32.97,33.74,28.89,49.11,56.14,39.89,31.84,42.35,42.06
    └─ Change in inventory,4.72,,-1.01,0.14,0.98,-2.63,-0.86,-4.43,-5.44,-4.60,-4.82,-5.56,0.08
  └─ Manufacturing Cost %,14.59%,,13.87%,15.42%,14.05%,33.79%,39.09%,33.36%,35.86%,40.02%,44.09%,43.19%,13.65%
  └─ Employee Cost %,14.46%,,14.96%,15.36%,14.80%,15.44%,15.32%,13.33%,11.96%,13.56%,15.22%,16.66%,13.97%
  └─ Other Cost %,41.03%,,40.66%,40.10%,34.53%,14.00%,13.35%,16.68%,16.31%,16.64%,17.81%,18.67%,40.45%
Operating Profit,-1,22,18,25,36,50,45,51,62,60,43,29,
OPM %,-1%,11%,13%,17%,19%,23%,20%,19%,20%,19%,14%,9%,
Other Income,19,5,5,6,4,4,3,5,3,3,5,1,
  └─ Exceptional items,4.74,,0.00,0.21,0.06,1.18,0.28,0.08,-0.01,0.08,-0.15,-3.79,1.60
  └─ Other income normal,13.99,,5.00,5.30,4.31,2.46,2.56,4.66,2.57,2.75,5.37,4.64,3.13
Interest,7,13,8,6,7,13,10,8,9,7,6,5,
Depreciation,9,11,8,9,13,20,22,25,28,22,22,20,
Profit before tax,2,2,7,15,20,20,16,23,28,34,20,5,
Tax %,24%,0%,9%,20%,-11%,29%,22%,31%,29%,29%,52%,28%,
Net Profit,2,2,6,12,22,14,12,16,20,24,10,3,
  └─ Profit from Associates,0,,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,4,,0,0,0,1,0,0,-0,0,-0,3,1
  └─ Profit excl Excep,-2,,6,12,22,14,12,16,20,24,10,1,1
  └─ Profit for PE,-2,,6,12,22,14,12,16,20,24,10,1,1
  └─ Profit for EPS,2,,6,12,22,14,12,16,20,24,10,3,2
  └─ Profit Growth %,86%,,534%,90%,86%,-39%,-10%,31%,24%,19%,-59%,-94%,143%
EPS in Rs,0.85,0.97,2.75,5.31,9.77,6.30,5.42,7.05,8.70,10.37,4.18,1.45,
Dividend Payout %,0%,0%,0%,0%,15%,19%,22%,26%,23%,21%,24%,69%,
