Metric,Dec 2023,Mar 202415m,Mar 2025,Mar 2026,Mar 2024
Sales,19126,24394,20202,23155,
  └─ Sales Growth %,,,-17.19%,14.62%,
Expenses,14655,18551,15454,17894,
  └─ Material Cost %,44.09%,,37.16%,44.66%,37.53%
    └─ Raw material cost,8473,,7647,10510,9201
    └─ Change in inventory,-40,,-140,-168,-46
  └─ Manufacturing Cost %,0.00%,,10.48%,0.00%,10.70%
  └─ Employee Cost %,9.67%,,10.02%,9.35%,9.58%
  └─ Other Cost %,22.87%,,18.85%,23.27%,18.24%
Operating Profit,4471,5843,4747,5261,
OPM %,23%,24%,24%,23%,
Other Income,116,159,245,161,
  └─ Exceptional items,-6,,186,121,11
  └─ Other income normal,121,,59,40,148
Interest,119,145,136,158,
Depreciation,429,568,540,699,
Profit before tax,4038,5289,4316,4564,
Tax %,26%,26%,26%,23%,
Net Profit,2999,3933,3208,3499,
  └─ Exceptional items AT,-4,,138,93,8
  └─ Profit excl Excep,3003,,3070,3406,3925
  └─ Profit for PE,3003,,3070,3406,3925
  └─ Profit for EPS,2999,,3208,3499,3933
  └─ Profit Growth %,,,-22%,11%,
EPS in Rs,15.55,20.40,16.63,18.15,
Dividend Payout %,56%,79%,81%,66%,
