Metric,Mar 2024,Mar 2025,Mar 2026
Sales,83,140,170
  └─ Sales Growth %,,68.33%,21.72%
Expenses,63,107,126
  └─ Material Cost %,20.64%,36.09%,36.49%
    └─ Raw material cost,17,50,62
  └─ Manufacturing Cost %,1.25%,1.22%,0.00%
  └─ Employee Cost %,43.14%,32.25%,28.68%
  └─ Other Cost %,10.98%,6.90%,9.16%
Operating Profit,20,33,44
OPM %,24%,24%,26%
Other Income,2,4,2
  └─ Exceptional items,0.90,1.46,0.00
  └─ Other income normal,0.75,3.00,1.97
Interest,0,0,0
Depreciation,1,2,3
Profit before tax,20,35,43
Tax %,24%,25%,25%
Net Profit,16,26,32
  └─ Exceptional items AT,0.68,1.09,0.00
  └─ Profit excl Excep,14.83,25.23,32.01
  └─ Profit for PE,14.83,25.23,32.01
  └─ Profit for EPS,15.51,26.32,32.01
  └─ Profit Growth %,,70.13%,26.87%
EPS in Rs,8.35,14.17,17.23
Dividend Payout %,0%,0%,0%
