Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Sales,61.06,67.81,39.44,53.88,47.86,53.40,39.63,46.08
  └─ Sales Growth %,,11.05%,-41.84%,36.61%,-11.17%,11.58%,-25.79%,16.28%
Expenses,52.48,59.86,35.69,45.22,44.43,45.38,38.00,42.59
  └─ Material Cost %,45%,39%,51%,49%,55%,53%,55%,54%
    └─ Raw material cost,35.10,17.87,23.32,29.65,22.54,28.10,20.88,28.07
    └─ Change in inventory,-7.69,8.46,-3.09,-3.06,3.60,0.42,0.81,-3.32
  └─ Manufacturing Cost %,8%,6%,8%,9%,10%,9%,10%,9%
  └─ Employee Cost %,8%,8%,14%,8%,10%,10%,14%,11%
  └─ Other Cost %,26%,36%,17%,18%,18%,13%,18%,18%
Operating Profit,8.58,7.95,3.75,8.66,3.43,8.02,1.63,3.49
OPM %,14.05%,11.72%,9.51%,16.07%,7.17%,15.02%,4.11%,7.57%
Other Income,0.15,0.31,2.26,1.14,1.88,0.23,-2.62,0.47
  └─ Exceptional items,0.00,0.00,1.38,0.44,0.92,0.00,-3.06,0.01
  └─ Other income normal,0.15,0.31,0.88,0.70,0.96,0.23,0.44,0.46
Interest,0.74,0.51,0.05,0.11,0.45,0.28,0.50,0.32
Depreciation,0.95,0.90,1.75,1.26,1.42,3.09,3.13,3.68
Profit before tax,7.04,6.85,4.21,8.43,3.44,4.88,-4.62,-0.04
Tax %,23.86%,32.85%,27.79%,28.71%,29.65%,27.25%,-23.81%,475.00%
Net Profit,5.36,4.60,3.04,6.02,2.41,3.54,-3.53,-0.23
  └─ Exceptional items AT,0.00,0.00,1.00,0.31,0.64,0.00,-3.06,0.01
  └─ Profit excl Excep,5.36,4.60,2.04,5.71,1.77,3.54,-0.47,-0.24
  └─ Profit for PE,5.36,4.60,2.04,5.71,1.77,3.54,-0.47,-0.24
  └─ Profit for EPS,5.36,4.60,3.04,6.02,2.41,3.54,-3.53,-0.23
  └─ Profit Growth %,,-14.18%,-55.65%,179.90%,-69.00%,100.00%,-113.28%,48.94%
EPS in Rs,7.15,4.47,2.95,5.84,2.35,3.45,-3.44,-0.22
Dividend Payout %,0.00%,3.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
