Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,189,198,224,244,261,272,240,307,441,472,491,544
  └─ Sales Growth %,13.38%,4.54%,12.97%,9.35%,6.77%,4.03%,-11.48%,27.83%,43.50%,7.13%,4.01%,10.69%
Expenses,177,184,212,233,239,248,223,286,414,420,447,472
  └─ Material Cost %,2%,2%,1%,2%,2%,0%,1%,0%,0%,0%,0%,0%
    └─ Raw material cost,3.93,3.11,2.79,3.72,4.40,0.45,1.74,0.01,0.00,0.00,0.00,0.00
    └─ Change in inventory,-0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,1%,1%,1%,1%,1%,3%,3%,9%,8%,8%,8%,0%
  └─ Employee Cost %,72%,73%,74%,76%,72%,78%,79%,78%,80%,76%,77%,73%
  └─ Other Cost %,18%,17%,19%,17%,16%,10%,11%,6%,6%,5%,6%,14%
Operating Profit,13,14,11,11,22,23,17,22,27,52,45,72
OPM %,7%,7%,5%,5%,9%,9%,7%,7%,6%,11%,9%,13%
Other Income,1,2,3,5,1,1,5,21,5,7,7,4
  └─ Exceptional items,-0.37,0.03,0.01,0.00,0.00,0.00,0.12,0.26,0.37,0.31,0.03,-3.16
  └─ Other income normal,0.98,1.70,2.51,4.75,1.18,1.06,5.22,21.07,5.03,6.96,7.18,7.04
Interest,3,4,3,3,3,3,2,1,2,1,2,3
Depreciation,5,4,4,5,6,11,10,10,13,13,13,16
Profit before tax,5,8,7,8,15,10,10,32,18,45,36,57
Tax %,37%,61%,38%,11%,33%,35%,25%,26%,36%,25%,25%,22%
Net Profit,3,3,4,7,10,6,7,24,11,34,27,44
  └─ Exceptional items AT,-0,0,0,0,0,0,0,0,0,0,0,-2
  └─ Profit excl Excep,3,3,4,7,10,6,7,23,11,34,27,47
  └─ Profit for PE,3,3,4,7,10,6,7,23,11,34,27,47
  └─ Profit for EPS,3,3,4,7,10,6,7,24,11,34,27,44
  └─ Profit Growth %,2809%,-1%,29%,64%,51%,-38%,17%,223%,-52%,200%,-20%,73%
EPS in Rs,2.00,2.14,2.70,4.32,6.41,3.89,4.49,10.75,5.15,15.06,11.94,19.48
Dividend Payout %,0%,47%,37%,23%,23%,39%,67%,28%,58%,33%,42%,41%
