Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,10,7,3,6,10,35,36,60,23,56,40,96
  └─ Sales Growth %,,-35%,-56%,107%,67%,246%,4%,67%,-63%,149%,-29%,142%
Expenses,6,4,1,3,8,28,27,53,18,49,27,81
  └─ Material Cost %,-220%,0%,0%,0%,0%,0%,70%,82%,-72%,4%,-100%,-18%
    └─ Raw material cost,0.46,0.00,0.00,0.00,0.00,0.00,25.34,49.38,0.00,0.00,0.00,0.53
    └─ Change in inventory,-22.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.13,2.16,-39.67,-17.76
  └─ Manufacturing Cost %,188%,44%,22%,39%,73%,74%,0%,0%,144%,78%,163%,0%
  └─ Employee Cost %,1%,2%,5%,4%,3%,3%,2%,1%,4%,2%,2%,3%
  └─ Other Cost %,88%,9%,14%,2%,6%,3%,3%,4%,4%,4%,3%,100%
Operating Profit,4,3,2,3,2,7,9,8,5,7,13,15
OPM %,43%,45%,58%,55%,18%,21%,25%,13%,20%,13%,32%,15%
Other Income,2,1,1,3,4,1,1,0,1,5,5,18
  └─ Exceptional items,0.00,0.02,0.09,0.16,0.08,0.37,0.00,0.00,0.10,0.13,0.02,0.00
  └─ Other income normal,2.18,1.36,1.24,3.19,3.86,0.29,0.60,0.37,0.71,5.06,4.85,18.18
Interest,1,1,1,2,2,3,4,1,1,4,4,5
Depreciation,0,0,0,1,1,1,1,2,2,2,3,2
Profit before tax,6,3,2,4,2,4,5,5,3,6,10,26
Tax %,9%,19%,24%,22%,21%,27%,24%,25%,26%,16%,25%,24%
Net Profit,5,3,1,3,2,3,4,4,2,5,8,20
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,5,3,1,3,2,2,4,4,2,5,7,20
  └─ Profit for PE,5,3,1,3,2,2,4,4,2,5,7,20
  └─ Profit for EPS,5,3,1,3,2,3,4,4,2,5,8,20
  └─ Profit Growth %,,-48%,-55%,165%,-39%,31%,52%,-3%,-47%,164%,47%,166%
EPS in Rs,23.60,12.36,0.71,1.85,1.12,1.58,2.16,2.09,1.15,2.99,4.30,11.40
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
