Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1443,1645,1731,1955,2396,2438,1842,2072,2893,3139,3432,3818
  └─ Sales Growth %,32.63%,13.99%,5.20%,12.93%,22.57%,1.76%,-24.45%,12.49%,39.62%,8.51%,9.35%,11.23%
Expenses,1330,1494,1639,1758,2171,2225,1715,2508,2773,2936,3179,3561
  └─ Material Cost %,74%,73%,66%,62%,62%,74%,74%,93%,72%,70%,71%,73%
    └─ Raw material cost,1083,1265,1305,1221,1504,1988,1423,1704,2167,2243,2364,2936
    └─ Change in inventory,-22,-62,-155,-5,-12,-174,-59,222,-72,-55,57,-139
  └─ Manufacturing Cost %,10%,8%,12%,16%,14%,6%,7%,15%,14%,10%,8%,0%
  └─ Employee Cost %,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,5%
  └─ Other Cost %,4%,6%,12%,7%,10%,7%,8%,9%,6%,9%,9%,15%
Operating Profit,113,151,92,197,225,213,126,-436,120,202,254,257
OPM %,8%,9%,5%,10%,9%,9%,7%,-21%,4%,6%,7%,7%
Other Income,-4,-2,-11,9,9,6,12,20,45,23,39,48
  └─ Exceptional items,-6,-3,-23,-3,-1,-2,-2,-1,-0,-2,-1,-6
  └─ Other income normal,2,1,13,12,10,8,14,21,45,25,40,53
Interest,47,50,33,36,36,38,46,52,57,79,93,81
Depreciation,28,33,49,51,50,54,52,54,57,60,67,71
Profit before tax,34,67,-1,119,148,127,41,-522,51,86,133,152
Tax %,6%,29%,-524%,27%,18%,26%,49%,2%,-4%,-6%,10%,11%
Net Profit,32,47,5,87,121,94,21,-532,53,91,119,135
  └─ Exceptional items AT,-5,-2,30,-2,-1,-1,-1,-1,-0,-2,-1,-5
  └─ Profit excl Excep,37,49,-25,89,122,95,22,-531,53,92,119,140
  └─ Profit for PE,37,49,-25,89,122,95,22,-531,53,92,119,140
  └─ Profit for EPS,32,47,5,87,121,94,21,-532,53,91,119,135
  └─ Profit Growth %,127%,33%,-151%,453%,36%,-22%,-77%,-2531%,110%,73%,29%,17%
EPS in Rs,20.17,6.72,0.57,10.35,14.35,11.14,2.46,-55.83,4.54,7.59,9.95,10.79
Dividend Payout %,0%,0%,88%,7%,7%,4%,20%,0%,0%,7%,10%,10%
