Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,3415,4041,3884,2275,2362,2617,1995,3380,3891,4544,5093,5103
  └─ Sales Growth %,-7.72%,18.31%,-3.89%,-41.44%,3.85%,10.79%,-23.78%,69.46%,15.11%,16.78%,12.09%,0.18%
Expenses,2919,3642,3463,1743,1985,2432,1750,2850,3330,3854,4345,4419
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,74%
    └─ Raw material cost,0,9,10,0,2,7,0,0,0,0,0,3766
  └─ Manufacturing Cost %,75%,77%,77%,62%,70%,80%,73%,72%,73%,72%,73%,0%
  └─ Employee Cost %,4%,3%,4%,7%,7%,7%,10%,8%,8%,8%,8%,8%
  └─ Other Cost %,7%,9%,8%,8%,6%,5%,5%,4%,4%,5%,5%,5%
Operating Profit,496,399,421,531,377,185,244,530,562,690,749,684
OPM %,15%,10%,11%,23%,16%,7%,12%,16%,14%,15%,15%,13%
Other Income,131,41,165,106,247,202,-115,83,149,163,-1,4
  └─ Exceptional items,31,-112,-69,-101,78,32,-223,-32,36,76,-159,-162
  └─ Other income normal,101,153,234,207,170,170,109,116,114,87,158,166
Interest,516,602,579,489,370,266,401,420,412,362,322,296
Depreciation,80,55,78,54,50,66,72,82,81,98,100,104
Profit before tax,32,-216,-71,94,204,55,-344,112,218,393,326,288
Tax %,69%,-9%,45%,-12%,22%,43%,-21%,39%,18%,26%,27%,6%
Net Profit,10,-196,-103,105,154,11,-291,72,183,290,248,269
  └─ Profit from Associates,0,0,0,0,-5,-20,-18,3,5,1,12,-1
  └─ Minority share,-1,0,0,0,0,0,0,0,0,0,0,-8
  └─ Exceptional items AT,6,-112,-13,-88,41,13,-216,-20,0,64,-113,-142
  └─ Profit excl Excep,4,-84,-90,193,113,-2,-74,92,183,227,361,411
  └─ Profit for PE,3,-84,-90,193,113,-2,-74,92,183,227,361,398
  └─ Profit for EPS,8,-196,-103,105,154,11,-291,72,183,290,248,261
  └─ Profit Growth %,-74%,-2519%,-6%,316%,-42%,-102%,-3349%,224%,99%,24%,59%,10%
EPS in Rs,0.26,-6.04,-1.55,1.58,2.22,0.15,-3.54,0.85,2.02,3.19,2.50,2.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
