Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,1606,1382,2153,2257,2539,2928,2536,3386,4644,3951,3599,4676,
  └─ Sales Growth %,48.73%,,55.74%,4.84%,12.50%,15.34%,-13.38%,33.49%,37.17%,-14.94%,-8.90%,29.92%,28.01%
Expenses,1364,1180,1743,1840,2180,2524,1947,2589,3670,3697,2812,3252,
  └─ Manufacturing Cost %,9%,,6%,7%,8%,9%,7%,7%,8%,10%,8%,0%,7%
  └─ Employee Cost %,58%,,58%,58%,63%,66%,59%,60%,62%,73%,61%,54%,62%
  └─ Other Cost %,19%,,17%,16%,15%,12%,10%,9%,8%,10%,10%,16%,17%
Operating Profit,241,203,410,416,359,404,590,797,975,253,787,1423,
OPM %,15%,15%,19%,18%,14%,14%,23%,24%,21%,6%,22%,30%,
Other Income,-228,-38,121,34,123,13,45,-89,219,216,-154,83,
  └─ Exceptional items,-247,,109,4,0,-71,-28,-180,-59,61,-372,-25,-81
  └─ Other income normal,19,,12,31,123,84,73,91,278,155,218,108,43
Interest,73,262,172,212,237,231,251,373,421,558,538,515,
Depreciation,221,203,255,277,304,381,422,417,527,498,505,658,
Profit before tax,-281,-301,105,-39,-58,-196,-39,-82,246,-587,-411,334,
Tax %,12%,5%,9%,15%,-44%,-21%,46%,111%,45%,-17%,12%,10%,
Net Profit,-313,-317,96,-44,-33,-154,-56,-174,194,-488,-458,301,
  └─ Minority share,21,,-12,-9,10,22,13,2,-47,84,81,-83,33
  └─ Exceptional items AT,-190,,101,4,0,-55,-10,-271,-38,61,-329,-22,-74
  └─ Profit excl Excep,-123,,-5,-48,-33,-99,-46,97,232,-550,-129,324,-243
  └─ Profit for PE,-115,,-5,-57,-23,-85,-36,96,176,-455,-106,235,-217
  └─ Profit for EPS,-292,,83,-53,-23,-132,-43,-172,147,-405,-377,219,-283
  └─ Profit Growth %,-9183%,,98%,-1108%,60%,-269%,58%,368%,83%,-359%,77%,321%,-17396%
EPS in Rs,-9.78,-9.48,2.79,-1.78,-0.76,-4.39,-1.45,-5.73,4.92,-13.49,-12.57,2.82,
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
