Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1012,1024,915,917,1141,1102,1305,2343,3528,3466,3228,3168
  └─ Sales Growth %,2.67%,1.13%,-10.61%,0.17%,24.50%,-3.39%,18.35%,79.61%,50.56%,-1.75%,-6.87%,-1.86%
Expenses,919,910,846,865,1062,1024,1192,2149,3220,3094,2913,3016
  └─ Material Cost %,50%,46%,51%,51%,53%,50%,56%,62%,62%,57%,51%,51%
    └─ Raw material cost,484,467,477,471,601,567,731,1491,2229,1912,1640,1615
    └─ Change in inventory,22,-0,-10,-2,8,-15,5,-27,-28,50,15,5
  └─ Manufacturing Cost %,11%,11%,12%,12%,12%,14%,12%,12%,13%,16%,19%,0%
  └─ Employee Cost %,13%,15%,16%,16%,14%,15%,13%,9%,7%,9%,11%,11%
  └─ Other Cost %,17%,17%,14%,15%,14%,13%,10%,8%,8%,8%,9%,33%
Operating Profit,93,114,69,52,79,78,112,194,308,372,315,152
OPM %,9%,11%,8%,6%,7%,7%,9%,8%,9%,11%,10%,5%
Other Income,34,18,22,27,32,30,26,36,45,59,89,24
  └─ Exceptional items,15,2,1,7,10,4,0,6,5,12,47,-26
  └─ Other income normal,19,17,21,19,22,26,25,30,40,48,42,50
Interest,2,2,1,1,1,3,3,3,5,10,19,20
Depreciation,38,25,22,24,23,22,22,23,30,44,86,106
Profit before tax,86,105,68,53,88,83,113,205,319,377,299,50
Tax %,9%,22%,34%,26%,22%,15%,28%,27%,25%,25%,27%,52%
Net Profit,78,82,45,39,68,70,81,150,240,283,219,24
  └─ Minority share,-2,-0,0,0,0,-0,-0,0,-0,-0,-0,-0
  └─ Exceptional items AT,10,1,1,5,8,4,0,4,4,9,32,4
  └─ Profit excl Excep,68,81,44,34,60,66,81,146,236,275,187,19
  └─ Profit for PE,66,81,44,34,60,66,81,146,236,275,187,19
  └─ Profit for EPS,76,82,45,39,68,70,81,150,240,283,219,24
  └─ Profit Growth %,34%,23%,-46%,-22%,75%,10%,22%,81%,62%,16%,-32%,-90%
EPS in Rs,4.30,4.63,2.49,2.18,3.73,3.85,4.42,8.18,13.05,15.42,11.91,1.30
Dividend Payout %,38%,35%,65%,74%,57%,70%,49%,51%,34%,39%,50%,278%
